r_distance,g_r_AA,g_r_BB,g_r_AB,g_r_WW
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000133e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.550000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000133e+00,1.211682358337411431e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000000e+00,4.425318488282942831e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.850000000000000089e+00,4.418481894492338634e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000000000178e+00,2.953775394070927104e-04,0.000000000000000000e+00,2.404407147824669314e-08,0.000000000000000000e+00
2.049999999999999822e+00,1.491962194355242292e-03,0.000000000000000000e+00,1.880550627476041608e-06,7.688288337250276470e-05
2.150000000000000355e+00,6.110469518738865548e-03,0.000000000000000000e+00,2.559722535964087327e-05,1.230336739769320210e-02
2.250000000000000000e+00,2.075984925446141410e-02,3.644499957485140615e-08,1.899032849720448234e-04,1.837149238474099222e-01
2.350000000000000533e+00,5.914142266771175299e-02,1.057682103787240717e-06,1.031844026734356776e-03,7.330666910879001241e-01
2.450000000000000178e+00,1.424238332904289861e-01,1.496379452739710677e-05,4.481197226343271514e-03,1.416852979107201538e+00
