r,g_cg_AA,g_cg_AB,g_cg_BB
5.000000000000000278e-02,1.733075968272171252e-62,4.225643010958765573e-83,3.432123407528381468e-115
1.500000000000000222e-01,6.715034247717506901e-56,2.346554070104841542e-75,7.178636535757420732e-106
2.500000000000000000e-01,1.012875802666022173e-49,5.078320742602626993e-68,5.843906049175197670e-97
3.500000000000000333e-01,5.858967577419710634e-44,4.220107330150658774e-61,1.823861110902105006e-88
4.500000000000000111e-01,1.287297353467881521e-38,1.334007864643538682e-54,2.161142949258427905e-80
5.500000000000000444e-01,1.067486985498848395e-33,1.594114183235763833e-48,9.658290179852785319e-73
6.500000000000001332e-01,3.326985424472236712e-29,7.170931816188890175e-43,1.620310964725594307e-65
7.500000000000000000e-01,3.888027640225137556e-25,1.210875994388513658e-37,1.016911805867638594e-58
8.500000000000000888e-01,1.703700885432501090e-21,7.661802280142176308e-33,2.381457882337042521e-52
9.499999999999999556e-01,2.811176090175162585e-18,1.815283437852055970e-28,2.077064954731641321e-46
1.050000000000000044e+00,1.770788987530762727e-15,1.611260330473537929e-24,6.737703274289234019e-41
1.150000000000000133e+00,4.409656266554745534e-13,5.372627538488713041e-21,8.121950744099263933e-36
1.250000000000000000e+00,4.681519605840456581e-11,6.781092035463475541e-18,3.637452876907063217e-31
1.350000000000000089e+00,2.399713239875262960e-09,3.301338370040396399e-15,6.056725962048262897e-27
1.450000000000000178e+00,6.794363131076238679e-08,6.476522634458578725e-13,3.758950684209929152e-23
1.550000000000000044e+00,1.167245374533196944e-06,5.588615276316049291e-11,8.749587824909777374e-20
1.650000000000000133e+00,1.287442139311650592e-05,2.417916205813845852e-09,7.749939520668306100e-17
1.750000000000000000e+00,9.553332118351250666e-05,5.953934050904670130e-08,2.698505413536533903e-14
1.850000000000000089e+00,5.059073661628124118e-04,9.083160048239797611e-07,3.949440605319427393e-12
1.950000000000000178e+00,2.056315823167280399e-03,9.100857580542526552e-06,2.719849249950735129e-10
2.049999999999999822e+00,6.893935871706847671e-03,6.384031113167612623e-05,1.008122375459451062e-08
2.150000000000000355e+00,1.994528954838580004e-02,3.401562440269063079e-04,2.236985365431352419e-07
2.250000000000000000e+00,5.040725138258099480e-02,1.480879176524182040e-03,3.175700127120942831e-06
2.350000000000000533e+00,1.114399161836369390e-01,5.437621006683215734e-03,3.015737912212727661e-05
2.450000000000000178e+00,2.170679442457901231e-01,1.685050116828620478e-02,2.002339963187374375e-04
2.549999999999999822e+00,3.763275177389283632e-01,4.423383016963262221e-02,9.828968966486217006e-04
2.650000000000000355e+00,5.863100578362249182e-01,1.000257203988064725e-01,3.805251321850933437e-03
2.750000000000000000e+00,8.291942236998787186e-01,1.986900245456716396e-01,1.226396878866051199e-02
