field_strength,drift_velocity
0.000000000000000000e+00,1.625477871434534297e-03
1.111111111111111154e-02,5.556800408008428886e-03
2.222222222222222307e-02,9.503532083354299456e-03
3.333333333333333287e-02,1.345920150463840968e-02
4.444444444444444614e-02,1.743371201791589845e-02
5.555555555555555941e-02,2.140122173684533627e-02
6.666666666666666574e-02,2.533400422597227586e-02
7.777777777777777901e-02,2.932574269062459063e-02
8.888888888888889228e-02,3.329943192231761551e-02
1.000000000000000056e-01,3.722201440444465603e-02
