external_field,drift_velocity
0.000000000000000000e+00,1.278887572465959438e-03
1.111111111111111154e-02,3.805384441858556538e-02
2.222222222222222307e-02,7.387484630511229056e-02
3.333333333333333287e-02,1.086220573292835806e-01
4.444444444444444614e-02,1.418842353187138028e-01
5.555555555555555941e-02,1.739784968404357313e-01
6.666666666666666574e-02,2.052875999588343325e-01
7.777777777777777901e-02,2.349448735459759574e-01
8.888888888888889228e-02,2.638088693458833234e-01
1.000000000000000056e-01,2.917974488179223558e-01
