r,g_AA,g_BB,g_AB,g_WW
5.000000000000e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.050000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.150000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.096572529550e-07
1.250000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.118933454939e-05
1.350000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.278977512112e-05
1.450000000000e+00,6.946587463712e-07,0.000000000000e+00,0.000000000000e+00,5.374913329424e-04
1.550000000000e+00,9.704703292004e-06,0.000000000000e+00,0.000000000000e+00,2.457482874287e-03
1.650000000000e+00,7.582061859558e-05,0.000000000000e+00,0.000000000000e+00,9.239673987622e-03
1.750000000000e+00,4.251911301637e-04,0.000000000000e+00,2.787266436074e-07,2.895014250157e-02
1.850000000000e+00,1.892038516287e-03,0.000000000000e+00,5.691593131984e-06,7.616967714352e-02
1.950000000000e+00,6.931816875651e-03,0.000000000000e+00,5.035290445230e-05,1.695849712181e-01
2.050000000000e+00,2.119183720576e-02,3.301442898336e-07,3.125284244008e-04,3.225825532002e-01
2.150000000000e+00,5.457218926378e-02,5.166210604949e-06,1.497310793513e-03,5.307448772692e-01
2.250000000000e+00,1.195204814766e-01,4.617175368570e-05,5.867947998938e-03,7.668840853050e-01
2.350000000000e+00,2.252266813024e-01,2.743034934662e-04,1.914509632644e-02,9.905573722235e-01
2.450000000000e+00,3.704418694525e-01,1.293671951793e-03,5.248543239050e-02,1.166165168088e+00
2.550000000000e+00,5.409561412925e-01,4.999849878659e-03,1.218580762201e-01,1.276422987497e+00
2.650000000000e+00,7.146910756369e-01,1.610651201433e-02,2.417990940554e-01,1.323909119297e+00
2.750000000000e+00,8.702553678852e-01,4.375227090181e-02,4.148245616893e-01,1.323560802777e+00
2.850000000000e+00,9.926472330662e-01,1.012470764935e-01,6.244171658234e-01,1.293298420341e+00
2.950000000000e+00,1.074630602755e+00,2.017195529261e-01,8.394161051187e-01,1.247948398656e+00
3.050000000000e+00,1.116602960810e+00,3.498266506729e-01,1.027592144485e+00,1.197491601005e+00
3.150000000000e+00,1.125965034676e+00,5.343156901960e-01,1.167874226839e+00,1.147851459692e+00
3.250000000000e+00,1.113874026192e+00,7.288719729655e-01,1.254136985517e+00,1.102248629315e+00
3.350000000000e+00,1.090045882738e+00,9.039615459932e-01,1.291918054533e+00,1.062363427558e+00
3.450000000000e+00,1.061218692909e+00,1.041526042820e+00,1.292527266064e+00,1.029208210288e+00
3.550000000000e+00,1.034776746332e+00,1.139576708471e+00,1.268024703890e+00,1.003515435578e+00
3.650000000000e+00,1.019711844030e+00,1.203832192948e+00,1.229264114664e+00,9.855218428031e-01
3.750000000000e+00,1.020359767879e+00,1.237234144857e+00,1.186247270778e+00,9.745675833169e-01
3.850000000000e+00,1.031278925808e+00,1.238459896622e+00,1.147421892612e+00,9.691139211872e-01
3.950000000000e+00,1.041460843196e+00,1.208978635911e+00,1.117048143808e+00,9.672968545844e-01
4.050000000000e+00,1.042876432958e+00,1.159104145720e+00,1.094097729847e+00,9.676850202510e-01
4.150000000000e+00,1.033768692790e+00,1.105303879701e+00,1.074953528966e+00,9.697092281898e-01
4.250000000000e+00,1.015719732220e+00,1.060825275163e+00,1.057210745310e+00,9.733592208758e-01
4.350000000000e+00,9.908228389233e-01,1.029044891033e+00,1.040979695447e+00,9.783401701365e-01
4.450000000000e+00,9.625842622048e-01,1.005694728411e+00,1.028156870337e+00,9.836309259150e-01
4.550000000000e+00,9.375114656466e-01,9.863210820845e-01,1.021884674841e+00,9.880868273199e-01
4.650000000000e+00,9.230336250466e-01,9.710303781622e-01,1.025918868326e+00,9.914324101573e-01
4.750000000000e+00,9.226949672458e-01,9.634064304244e-01,1.042239457553e+00,9.943761393974e-01
4.850000000000e+00,9.340785795724e-01,9.660081466723e-01,1.067660716952e+00,9.976746937923e-01
4.950000000000e+00,9.519506895155e-01,9.762553865152e-01,1.093046354471e+00,1.001310432181e+00
5.050000000000e+00,9.726321896932e-01,9.862069705465e-01,1.107469141259e+00,1.004647599932e+00
5.150000000000e+00,9.949004875734e-01,9.875295908055e-01,1.104758950925e+00,1.007077843607e+00
5.250000000000e+00,1.017826499832e+00,9.777608583719e-01,1.087071483808e+00,1.008296411295e+00
5.350000000000e+00,1.039057923614e+00,9.616017996452e-01,1.063228375189e+00,1.008301309327e+00
5.450000000000e+00,1.055109262759e+00,9.461489918937e-01,1.044082512356e+00,1.007484745216e+00
5.550000000000e+00,1.062757406968e+00,9.355339540091e-01,1.037857689130e+00,1.006511227848e+00
5.650000000000e+00,1.060625822095e+00,9.303167130671e-01,1.046818805143e+00,1.005751601509e+00
5.750000000000e+00,1.050522243087e+00,9.309274574846e-01,1.066389639350e+00,1.005025394193e+00
5.850000000000e+00,1.037474508223e+00,9.399155047067e-01,1.087666626880e+00,1.004095319533e+00
5.950000000000e+00,1.027755519446e+00,9.597785642104e-01,1.102250149763e+00,1.003108111809e+00
6.050000000000e+00,1.026059380986e+00,9.888096312511e-01,1.106447965972e+00,1.002292966147e+00
6.150000000000e+00,1.033432272351e+00,1.019811447972e+00,1.102209014058e+00,1.001510742826e+00
6.250000000000e+00,1.046410269239e+00,1.043397518270e+00,1.094582476970e+00,1.000413579175e+00
6.350000000000e+00,1.058214039287e+00,1.053190525458e+00,1.088088392569e+00,9.989850171952e-01
6.450000000000e+00,1.062878823342e+00,1.048886196962e+00,1.084660814290e+00,9.977194360981e-01
6.550000000000e+00,1.059435586315e+00,1.035253209855e+00,1.083687229222e+00,9.971740899085e-01
6.650000000000e+00,1.051265509701e+00,1.018549394112e+00,1.083178349773e+00,9.973488200163e-01
6.750000000000e+00,1.041378795470e+00,1.003547723360e+00,1.081171303317e+00,9.975976216029e-01
6.850000000000e+00,1.029926874533e+00,9.929845131224e-01,1.076891926722e+00,9.972796473884e-01
6.950000000000e+00,1.016339110270e+00,9.884935543408e-01,1.071254281172e+00,9.965401785920e-01
7.050000000000e+00,1.001626937446e+00,9.909633888141e-01,1.066227934032e+00,9.963440762460e-01
7.150000000000e+00,9.876355075654e-01,9.996946588509e-01,1.063197002145e+00,9.976390723835e-01
7.250000000000e+00,9.753102150975e-01,1.011756465350e+00,1.061578361248e+00,1.000451462399e+00
7.350000000000e+00,9.647049951008e-01,1.022691304376e+00,1.059239239112e+00,1.003801851157e+00
7.450000000000e+00,9.564649810000e-01,1.028236931394e+00,1.054471844315e+00,1.006373241802e+00
7.550000000000e+00,9.528802629373e-01,1.026261026344e+00,1.047443232094e+00,1.007241617090e+00
