field,drift_velocity
0.000000000000e+00,-8.765929971970e-04
5.000000000000e-02,3.445013354090e-02
1.000000000000e-01,6.744585098690e-02
1.250000000000e-01,8.493709550130e-02
1.500000000000e-01,9.889105575230e-02
1.750000000000e-01,1.155182237030e-01
2.000000000000e-01,1.308554449040e-01
2.250000000000e-01,1.426219347260e-01
2.500000000000e-01,1.526656046540e-01
3.000000000000e-01,1.808621339730e-01
4.000000000000e-01,2.223408734460e-01
5.000000000000e-01,2.605103021470e-01
6.000000000000e-01,3.028501915050e-01
7.500000000000e-01,3.500671477460e-01
1.000000000000e+00,4.146444413320e-01
2.000000000000e+00,6.155613610770e-01
3.000000000000e+00,7.698890792300e-01
