external_field,drift_velocity
0.000000000000000000e+00,7.962527853909312243e-04
1.111111111111111154e-02,4.676173729113022870e-02
2.222222222222222307e-02,8.545468351524158901e-02
3.333333333333333287e-02,1.135200223614350606e-01
4.444444444444444614e-02,1.320964447154140964e-01
5.555555555555555941e-02,1.435169965944655401e-01
6.666666666666666574e-02,1.509836978882602154e-01
7.777777777777777901e-02,1.569309807309663130e-01
8.888888888888889228e-02,1.631615317521715458e-01
1.000000000000000056e-01,1.711545282131189116e-01
