lag_index,original_kernel,snapshot_step_0,snapshot_step_1,snapshot_step_3,snapshot_step_4,snapshot_step_6,snapshot_step_7,snapshot_step_9,snapshot_step_10,snapshot_step_12,snapshot_step_13,snapshot_step_15,snapshot_step_16,snapshot_step_18,snapshot_step_19,snapshot_step_21,snapshot_step_22,snapshot_step_24,snapshot_step_25,snapshot_step_27,snapshot_step_28,snapshot_step_30,snapshot_step_31,snapshot_step_33,snapshot_step_34,snapshot_step_36,snapshot_step_37,snapshot_step_39,snapshot_step_40,snapshot_step_42,snapshot_step_43,snapshot_step_45,snapshot_step_46,snapshot_step_48,snapshot_step_49,snapshot_step_51,snapshot_step_52,snapshot_step_54,snapshot_step_55,snapshot_step_57,snapshot_step_58,snapshot_step_60,snapshot_step_61,snapshot_step_63,snapshot_step_64,snapshot_step_66,snapshot_step_67,snapshot_step_69,snapshot_step_70,snapshot_step_72,snapshot_step_73,snapshot_step_75,snapshot_step_76,snapshot_step_78,snapshot_step_79,snapshot_step_81,snapshot_step_82,snapshot_step_84,snapshot_step_85,snapshot_step_87,snapshot_step_88,snapshot_step_90,snapshot_step_91,snapshot_step_93,snapshot_step_94,snapshot_step_96,snapshot_step_97,snapshot_step_99,snapshot_step_100,snapshot_step_102,snapshot_step_103,snapshot_step_105,snapshot_step_106,snapshot_step_108,snapshot_step_109,snapshot_step_111,snapshot_step_112,snapshot_step_114,snapshot_step_115,snapshot_step_117,snapshot_step_118,snapshot_step_120,snapshot_step_121,snapshot_step_123,snapshot_step_124,snapshot_step_126,snapshot_step_127,snapshot_step_129,snapshot_step_130,snapshot_step_132,snapshot_step_133,snapshot_step_135,snapshot_step_136,snapshot_step_138,snapshot_step_139,snapshot_step_141,snapshot_step_142,snapshot_step_144,snapshot_step_145,snapshot_step_147,snapshot_step_149
0.000000000000000000e+00,1.548772747380789960e-01,1.184299371850827676e-05,2.802129213655413231e-05,9.159541463402143258e-05,1.542624319983976200e-04,4.165796434069113374e-04,6.768415817225148512e-04,1.741331146684094167e-03,2.766002056565158851e-03,6.654855515422636314e-03,1.009647445770678331e-02,2.226444838702518192e-02,3.244637276611539445e-02,6.689558605662984658e-02,9.487767341472075344e-02,1.862404784822973003e-01,2.562860670086918868e-01,4.508439371047064936e-01,5.664059789391668875e-01,7.856888448518365431e-01,8.754671564599237898e-01,9.886362355207362063e-01,1.015723187961351304e+00,1.006947128537985847e+00,9.756112529947763568e-01,8.739585533803188033e-01,8.101121657291052713e-01,6.720249352047679148e-01,6.034040073864096465e-01,4.786116982197053948e-01,4.258387140469404031e-01,3.445667218903906703e-01,3.166604691023137130e-01,2.850495260503901895e-01,2.801921601994092903e-01,2.891526086205174484e-01,3.016387250706827894e-01,3.387189324874267382e-01,3.612770843685032540e-01,4.080386170762788645e-01,4.294443467620007171e-01,4.621896819010856694e-01,4.718914096076419762e-01,4.765883418388167092e-01,4.721319010532710747e-01,4.529379031097239272e-01,4.400067532746952947e-01,4.121920285130457051e-01,3.990056454883272874e-01,3.773805152561454657e-01,3.697810182698956227e-01,3.619540483096076455e-01,3.616904558806687264e-01,3.674812190525823530e-01,3.728504676114993144e-01,3.863310021289690921e-01,3.934627283830075539e-01,4.061863898956185048e-01,4.110254825948190804e-01,4.164678189779179585e-01,4.169516359007213735e-01,4.139275576629545261e-01,4.108627816731226234e-01,4.030810439800008860e-01,3.990058829139836449e-01,3.918533563593588065e-01,3.891778335723569127e-01,3.862339713129619989e-01,3.860124814327888787e-01,3.877822264394749086e-01,3.895207570441024947e-01,3.938696472977453178e-01,3.961160626159198062e-01,3.999541357467069069e-01,4.013155311656851909e-01,4.026029970812278203e-01,4.025189396895781924e-01,4.011433542585435275e-01,4.000297635550585928e-01,3.974717585356130067e-01,3.962317889712099195e-01,3.942578279289359333e-01,3.936415531235556431e-01,3.932609870117044215e-01,3.934731749729327710e-01,3.945040242063884151e-01,3.952089660193783827e-01,3.966731281375071028e-01,3.973141723577059414e-01,3.982060551307963214e-01,3.984130721118516183e-01,3.983390885452887664e-01,3.980953869864121142e-01,3.973459267687062813e-01,3.969170305394620346e-01,3.961266317131161285e-01,3.958242210420105378e-01,3.954992620214164978e-01,3.954860407213184326e-01,3.957179614012754643e-01,3.961712211093851854e-01
1.000000000000000000e+00,1.434161129260415335e-01,1.186192679672459782e-05,2.806339202282570611e-05,9.162429363349100520e-05,1.541957344350641801e-04,4.155781840905481417e-04,6.743316096838869456e-04,1.728431893175119693e-03,2.739401662265772419e-03,6.554120208429214944e-03,9.909250489101045778e-03,2.166462137237090690e-02,3.140564842288981473e-02,6.390861495794716851e-02,8.991572342638989856e-02,1.730611388272305928e-01,2.353844266550013387e-01,4.036803946193990855e-01,5.009423288480745473e-01,6.814280495443287844e-01,7.536078934900292126e-01,8.448058248963316030e-01,8.662260700592777640e-01,8.592630423630104319e-01,8.344199400640058828e-01,7.532286357588878767e-01,7.017376486100455057e-01,5.889642194126877284e-01,5.321524599974368774e-01,4.273834595591746721e-01,3.824613649895862721e-01,3.124804790655835163e-01,2.882100032225877184e-01,2.605603854514141338e-01,2.562996165118616165e-01,2.641774734327220209e-01,2.751216048501583522e-01,3.074600025878384546e-01,3.270218856879928415e-01,3.673216131245673477e-01,3.856627386230163657e-01,4.136010392418379977e-01,4.218554059593104810e-01,4.258650714818863481e-01,4.220945214075711993e-01,4.057950890791166554e-01,3.947801464691085283e-01,3.710018208486091096e-01,3.596883465018384518e-01,3.410774888580105912e-01,3.345204519320208458e-01,3.277594870002041860e-01,3.275335739940794522e-01,3.325443674457145837e-01,3.371839555186543214e-01,3.488117390340941260e-01,3.549518469524043374e-01,3.658874731948255077e-01,3.700404366575982262e-01,3.747078602751610088e-01,3.751233865749576957e-01,3.725336531936309648e-01,3.699066642558392903e-01,3.632296211318382095e-01,3.597292345629446997e-01,3.535794456430946253e-01,3.512770652056685927e-01,3.487427415084487503e-01,3.485522445683028048e-01,3.500769035029039911e-01,3.515739382802925972e-01,3.553165666038243797e-01,3.572486702934326575e-01,3.605479872192245416e-01,3.617177772858078955e-01,3.628238956780673874e-01,3.627518023495441835e-01,3.615703739731165323e-01,3.606136872397248672e-01,3.584153555630683607e-01,3.573493732316430638e-01,3.556519189653498669e-01,3.551218608528510234e-01,3.547945528691317518e-01,3.549771194067843361e-01,3.558638696147266023e-01,3.564701643994724334e-01,3.577291900010989290e-01,3.582803190525762904e-01,3.590470066690782946e-01,3.592249535095111135e-01,3.591613879036594792e-01,3.589519304323108839e-01,3.583077123020773636e-01,3.579390029024264175e-01,3.572594470443517523e-01,3.569994212198872585e-01,3.567199957180147152e-01,3.567086305176461192e-01,3.569080708088829823e-01,3.572978199636646091e-01
2.000000000000000000e+00,1.249148641315298291e-01,1.188255276417249373e-05,2.810541941807020994e-05,9.165295896673697484e-05,1.541287787575895685e-04,4.145786443438825852e-04,6.718303010412873810e-04,1.715627015317078286e-03,2.713055517400864147e-03,6.454907032151319113e-03,9.725494761466141336e-03,2.108094835563803504e-02,3.039829789195655496e-02,6.105500346398579081e-02,8.521325985581537643e-02,1.608144130948091777e-01,2.161874084184217948e-01,3.614506667870474033e-01,4.430447386668353582e-01,5.910025871997822700e-01,6.487105744927162965e-01,7.219003215195813894e-01,7.387323095586676436e-01,7.332390042454677292e-01,7.136618933115553842e-01,6.491764671672742848e-01,6.078611123080663869e-01,5.161695654594263827e-01,4.693144390540614497e-01,3.816384007015527491e-01,3.435025417165661343e-01,2.833820945618217291e-01,2.623156505709192121e-01,2.381751267879004541e-01,2.344444118547699685e-01,2.413595029257350755e-01,2.509355829586424891e-01,2.790857972065553527e-01,2.960146306605810906e-01,3.306676091323768052e-01,3.463446063447974677e-01,3.701203417202085788e-01,3.771248271844788169e-01,3.805402391952863450e-01,3.773601558850361304e-01,3.635589716574493258e-01,3.542021744393278881e-01,3.339277033339669298e-01,3.242452710901195800e-01,3.082666882793697605e-01,3.026221355025391357e-01,2.967953277155306324e-01,2.966023278530661722e-01,3.009289709890176079e-01,3.049292363670593753e-01,3.149361982688982931e-01,3.202102562157129739e-01,3.295866948931881479e-01,3.331421456989600571e-01,3.371352126067111987e-01,3.374912799368890992e-01,3.352792209182293703e-01,3.330331507856876261e-01,3.273181573071142214e-01,3.243188004450159312e-01,3.190438715419494642e-01,3.170672981552330461e-01,3.148907051168856608e-01,3.147272714259594650e-01,3.160377597006083228e-01,3.173238382773204691e-01,3.205371390513428453e-01,3.221949619066272197e-01,3.250243628912176108e-01,3.260270964814119266e-01,3.269751272417599219e-01,3.269134544018161836e-01,3.259012543801637074e-01,3.250813572826319886e-01,3.231966839157964788e-01,3.222824755020933241e-01,3.208262864657607238e-01,3.203714711243592639e-01,3.200906429521824803e-01,3.202473529090639204e-01,3.210083377968658835e-01,3.215285491016108832e-01,3.226085952156199088e-01,3.230812872167840855e-01,3.237387741914464767e-01,3.238913665513271090e-01,3.238368852787022467e-01,3.236572935652141103e-01,3.231048697337540743e-01,3.227886615517313595e-01,3.222058038100907851e-01,3.219827571733575589e-01,3.217430596662976816e-01,3.217333136914211078e-01,3.219044135854263189e-01,3.222387508869737349e-01
3.000000000000000000e+00,1.041195478148135428e-01,1.190316075605490909e-05,2.814737124030852744e-05,9.168141111877414762e-05,1.540615661131533587e-04,4.135810230238429197e-04,6.693376298786551937e-04,1.702915834277618501e-03,2.686961211121871584e-03,6.357193038211250702e-03,9.545143109652209912e-03,2.051299449765121852e-02,2.942325126568455518e-02,5.832879820327639686e-02,8.075671392631376955e-02,1.494343089235964928e-01,1.985559963901666891e-01,3.236386304394691660e-01,3.918387587065731981e-01,5.125765320244135559e-01,5.584142319523466291e-01,6.168755195146645720e-01,6.300034144871465847e-01,6.256982654468493665e-01,6.103800177998301990e-01,5.594981810011917522e-01,5.265430781657781667e-01,4.523721283347710842e-01,4.138964673955389251e-01,3.407896400444554996e-01,3.085121680209981232e-01,2.569933447724503939e-01,2.387477629843205440e-01,2.177130074813776739e-01,2.144528240110511463e-01,2.205123810766762560e-01,2.288757383042346327e-01,2.533301044983178318e-01,2.679473667706369633e-01,2.976711787934971376e-01,3.110349104334252379e-01,3.312106162373041340e-01,3.371371342199435128e-01,3.400393000230791385e-01,3.373667919887439748e-01,3.257188605114045288e-01,3.177950313960442030e-01,3.005583653404260147e-01,2.922946687384939124e-01,2.786121784257234446e-01,2.737654685342958416e-01,2.687563951534103768e-01,2.685921063784961760e-01,2.723192629296151135e-01,2.757599492159152343e-01,2.843505210510702819e-01,2.888690383309663323e-01,2.968873968810839536e-01,2.999231113141113125e-01,3.033300158731743745e-01,3.036343712958365915e-01,3.017503109873227451e-01,2.998352830116660650e-01,2.949571290720921501e-01,2.923940133597875968e-01,2.878815038229134426e-01,2.861890859996184533e-01,2.843246185270438819e-01,2.841847892408825293e-01,2.853083287540854607e-01,2.864103337241055147e-01,2.891619970979389387e-01,2.905807425352380235e-01,2.930007390933281330e-01,2.938579868737677958e-01,2.946683646507661791e-01,2.946157569469206039e-01,2.937508863234270517e-01,2.930501055578469405e-01,2.914386485622186274e-01,2.906566855798951021e-01,2.894107723723124970e-01,2.890215481612150028e-01,2.887812380164701542e-01,2.889154031172799231e-01,2.895667478509836301e-01,2.900119242853159141e-01,2.909359901327340792e-01,2.913403359327725872e-01,2.919026820886448381e-01,2.920331859505320149e-01,2.919866169404682910e-01,2.918330426127028199e-01,2.913605920871897292e-01,2.910901286468239313e-01,2.905915330546881559e-01,2.904007126399784644e-01,2.901956383595847289e-01,2.901873033426167203e-01,2.903337032202290002e-01,2.906197496197560071e-01
4.000000000000000000e+00,8.374459548739297821e-02,1.192375078758189932e-05,2.818830083536894016e-05,9.170965058162561245e-05,1.539940976268694417e-04,4.125853186949801632e-04,6.668535696413846470e-04,1.690297672493470960e-03,2.661116348046527191e-03,6.260955596678455248e-03,9.368132504936746430e-03,1.996033650582058894e-02,2.847947266467459881e-02,5.572431082070623820e-02,7.653322516427420175e-02,1.388595005437566199e-01,1.823625070184705099e-01,2.897821438082555656e-01,3.465509907765760289e-01,4.445575625122784036e-01,4.806865033146459076e-01,5.271300649499331969e-01,5.372775123541193576e-01,5.339299647949835581e-01,5.220451423099865540e-01,4.822081444167407582e-01,4.561035021333437189e-01,3.964598709510846475e-01,3.650223643165619869e-01,3.043131011144215581e-01,2.770860038540796100e-01,2.330619068014163631e-01,2.172973183052716584e-01,1.990088069756293376e-01,1.961659386280082962e-01,2.014658786194093998e-01,2.087551580835002030e-01,2.299512727534574474e-01,2.425413325423942390e-01,2.679673426382092605e-01,2.793249922620522629e-01,2.963913289212993241e-01,3.013894241549554542e-01,3.038488461697704812e-01,3.016119688256058695e-01,2.918172082603713302e-01,2.851300129172479325e-01,2.705235887791450078e-01,2.634923967573581938e-01,2.518103317592660373e-01,2.476604132208164444e-01,2.433663365000834911e-01,2.432270569239063929e-01,2.464294885860945361e-01,2.493809441060909626e-01,2.567352054683254559e-01,2.605953749545040776e-01,2.674322652422533864e-01,2.700164589012088445e-01,2.729145003732882935e-01,2.731739350652083731e-01,2.715743600537133262e-01,2.699466600470226685e-01,2.657955147170705801e-01,2.636117585466257740e-01,2.597628670515794158e-01,2.583179787651219694e-01,2.567255182405369651e-01,2.566062509876576581e-01,2.575667959245880323e-01,2.585083753667044570e-01,2.608579189296926226e-01,2.620685246373564148e-01,2.641322717372935336e-01,2.648629747638966969e-01,2.655536400778605866e-01,2.655089082570082359e-01,2.647721426080621443e-01,2.641749601202146858e-01,2.628011994884429936e-01,2.621343252274578872e-01,2.610714556475792203e-01,2.607393395068688946e-01,2.605343072580642572e-01,2.606488387273600549e-01,2.612047166111166052e-01,2.615845680841801801e-01,2.623728628713599131e-01,2.627177278104855795e-01,2.631972840540898750e-01,2.633085682279288631e-01,2.632688820900057625e-01,2.631379448502667029e-01,2.627350835795542738e-01,2.625044291766150950e-01,2.620791694776020697e-01,2.619163989842224205e-01,2.617414623174740274e-01,2.617343552653281780e-01,2.618592540651006328e-01,2.621032666467971728e-01
5.000000000000000000e+00,6.521138079489896544e-02,1.194432286107105501e-05,2.822918621372960679e-05,9.173767782880148935e-05,1.539263744629176811e-04,4.115915305306916405e-04,6.643780953847211457e-04,1.677771865060573298e-03,2.635518571446712754e-03,6.166172478036011095e-03,9.194401193457296673e-03,1.942256282016036062e-02,2.756595999426664223e-02,5.323610847836945936e-02,7.253060813560130438e-02,1.290330079768974292e-01,1.674896793057574773e-01,2.594674294796408542e-01,3.064974490527271334e-01,3.855646953211205874e-01,4.137779599990591972e-01,4.504411073184738656e-01,4.581992817071268709e-01,4.556208801560005517e-01,4.464941677868580205e-01,4.155950652869392359e-01,3.950871305548127044e-01,3.474582324898953800e-01,3.219194381366121127e-01,2.717408225390143262e-01,2.488610041700564657e-01,2.113589678245889059e-01,1.977740862876034011e-01,1.819115098373013661e-01,1.794384027784355906e-01,1.840644805035305254e-01,1.904033725484438611e-01,2.087299646067944936e-01,2.195442122842418131e-01,2.412275583036825877e-01,2.508478736816017185e-01,2.652324826929951529e-01,2.694321385127084190e-01,2.715101322400572115e-01,2.696464974016883898e-01,2.614441092826287338e-01,2.558224979629791784e-01,2.434901683735772870e-01,2.375282400228990731e-01,2.275867441782328804e-01,2.240446032547552258e-01,2.203749210448272544e-01,2.202573919353404408e-01,2.230010750443055523e-01,2.255253198570991158e-01,2.318017943470489506e-01,2.350890390181832323e-01,2.408994529278784547e-01,2.430919134171817264e-01,2.455487932973026144e-01,2.457692563875011338e-01,2.444160792674733296e-01,2.430374219881014652e-01,2.395170135709340786e-01,2.376627125368522830e-01,2.343906829879860432e-01,2.331611394614237498e-01,2.318054178321126702e-01,2.317040384420230859e-01,2.325226533433746301e-01,2.333245958735068459e-01,2.353243155230694827e-01,2.363539515686767234e-01,2.381081094790702402e-01,2.387288881148211250e-01,2.393155807322657758e-01,2.392776820451964492e-01,2.386521567661633592e-01,2.381449565054998274e-01,2.369777169803020112e-01,2.364108689479592629e-01,2.355071290683244944e-01,2.352246701902115378e-01,2.350503131978984861e-01,2.351477684364115528e-01,2.356206285829250957e-01,2.359436826052381253e-01,2.366139516626624140e-01,2.369071189911804431e-01,2.373147274669573648e-01,2.374093101335735811e-01,2.373756034252434977e-01,2.372643361936592754e-01,2.369219487593372531e-01,2.367258923864784537e-01,2.363643754332977465e-01,2.362259878087509257e-01,2.360772499366854404e-01,2.360712101760125692e-01,2.361774169769909060e-01,2.363848899422723582e-01
6.000000000000000000e+00,4.914074712096036524e-02,1.196487699886561451e-05,2.827002743045758937e-05,9.176549336023520631e-05,1.538583977162347183e-04,4.105996567207864656e-04,6.619111798038951333e-04,1.665337739577589515e-03,2.610165521871238292e-03,6.072821695237311246e-03,9.023888394127245471e-03,1.889927243487965480e-02,2.668174239562913497e-02,5.085899845224603477e-02,6.873731071380710655e-02,1.199018737021198822e-01,1.538298008479599133e-01,2.323239660182674082e-01,2.710731613575877441e-01,3.344001452646206962e-01,3.561826164880366186e-01,3.849091091501135597e-01,3.907599865227564528e-01,3.887969816439407200e-01,3.818769665684926817e-01,3.581839864627003323e-01,3.422333295532669073e-01,3.045130574122733025e-01,2.839061962800202288e-01,2.426548991822886914e-01,2.235110771270833740e-01,1.916770008322769281e-01,1.800049087677368653e-01,1.662830578230184708e-01,1.641372416039153237e-01,1.681660869397137437e-01,1.736648799229290885e-01,1.894670635321119290e-01,1.987275914980048408e-01,2.171560414414246687e-01,2.252739617686163320e-01,2.373492541860048599e-01,2.408633553969893593e-01,2.426132053149045176e-01,2.410687631685011489e-01,2.342322920296985578e-01,2.295273704173091678e-01,2.191581693682852217e-01,2.141225259331467623e-01,2.056933847323423048e-01,2.026806671223605194e-01,1.995555352974026919e-01,1.994568904107282825e-01,2.018000091768918092e-01,2.039516833459455170e-01,2.092898200693782129e-01,2.120791636573931271e-01,2.169990181837266052e-01,2.188521064471966870e-01,2.209270745877069120e-01,2.211137737141245785e-01,2.199736829070300936e-01,2.188105639794764301e-01,2.158365708438362007e-01,2.142679750069075018e-01,2.114966848310260439e-01,2.104542248195394316e-01,2.093042608523662806e-01,2.092184205590111035e-01,2.099136155497164646e-01,2.105941827865591975e-01,2.122899952688324376e-01,2.131625052596724246e-01,2.146480025470063613e-01,2.151734298532112233e-01,2.156699483785256277e-01,2.156379692461116993e-01,2.151089010851337247e-01,2.146797448865575830e-01,2.136916850373876964e-01,2.132116491978997275e-01,2.124460546380843307e-01,2.122067137090904720e-01,2.120589922737613209e-01,2.121416162083697710e-01,2.125423852085566445e-01,2.128161253269754971e-01,2.133839389234814810e-01,2.136322367891325402e-01,2.139774080836309433e-01,2.140574979983738413e-01,2.140289784135020745e-01,2.139347787649638899e-01,2.136448693716613556e-01,2.134788396529664622e-01,2.131726490305098920e-01,2.130554267696384285e-01,2.129294315856602726e-01,2.129243181462121826e-01,2.130142978495611905e-01,2.131900519439577091e-01
7.000000000000000000e+00,3.567705621413261308e-02,1.198541320614199268e-05,2.831103317598587799e-05,9.179309765158794043e-05,1.537901685350895331e-04,4.096096962710252254e-04,6.594527977178549216e-04,1.652994638817559259e-03,2.585054883356627253e-03,5.980881670736098998e-03,8.856534593129114508e-03,1.839007557880156796e-02,2.582588087993924891e-02,4.858802184887003883e-02,6.514238808051665830e-02,1.114168953851248367e-01,1.412839553025961314e-01,2.080200159174326047e-01,2.397431067996877163e-01,2.900251172055435811e-01,3.066041603935963922e-01,3.289109416206790204e-01,3.332466011628184566e-01,3.317738190317952585e-01,3.266112193177214129e-01,3.087037533471936879e-01,2.964501550469422764e-01,2.668757988109432544e-01,2.503816512886852808e-01,2.166821812850317219e-01,2.007433693105073469e-01,1.738278205746691674e-01,1.638322001203726119e-01,1.519972667813101752e-01,1.501408322461492695e-01,1.536408852844647621e-01,1.583978628291176083e-01,1.719818450019962863e-01,1.798847309793860372e-01,1.954865437167525311e-01,2.023072872575295278e-01,2.123972992383181824e-01,2.153237942991768350e-01,2.167917684807807721e-01,2.155197398641930662e-01,2.098527346894499546e-01,2.059350098021949516e-01,1.972576501562012807e-01,1.930231602898921650e-01,1.859061010641782086e-01,1.833538861343179394e-01,1.807029921519874571e-01,1.806207126454139056e-01,1.826145438078352057e-01,1.844417512634874412e-01,1.889641300161576387e-01,1.913214132220166785e-01,1.954698056071194900e-01,1.970293421005458456e-01,1.987742103249659775e-01,1.989317005557164342e-01,1.979755855293424405e-01,1.969987082425214142e-01,1.944973344724126030e-01,1.931761194995229025e-01,1.908388280154114935e-01,1.899586544695449075e-01,1.889872533799497600e-01,1.889148908340825828e-01,1.895029192282057240e-01,1.900781408630511371e-01,1.915103312114707357e-01,1.922466234737217894e-01,1.934993332630495499e-01,1.939421772229023566e-01,1.943606090560896227e-01,1.943337497190292251e-01,1.938881901078364223e-01,1.935266191279394754e-01,1.926937785638933032e-01,1.922889714828600327e-01,1.916431227422013828e-01,1.914411648526205822e-01,1.913165360972420015e-01,1.913862978551536809e-01,1.917245586254855694e-01,1.919555471762497134e-01,1.924345565765110400e-01,1.926439705923390089e-01,1.929350407996216765e-01,1.930025738107640498e-01,1.929785470531137637e-01,1.928991341767252177e-01,1.926546945774280928e-01,1.925146843644928440e-01,1.922564417611184739e-01,1.921575639772542810e-01,1.920512812715803874e-01,1.920469705663578885e-01,1.921228843980075929e-01,1.922711461953256207e-01
8.000000000000000000e+00,2.469777900530012796e-02,1.200593149379772240e-05,2.835208154166810046e-05,9.182049118546670163e-05,1.537216880456750145e-04,4.086216478957523102e-04,6.570029233095783794e-04,1.640741906718090615e-03,2.560184354641149851e-03,5.890331125556418079e-03,8.692281328800909729e-03,1.789459282227047129e-02,2.499746630604508454e-02,4.641844045961857068e-02,6.173546663198872797e-02,1.035323496195939830e-01,1.297612891939298740e-01,1.862585365411782434e-01,2.120340892557678880e-01,2.515386472768821324e-01,2.639266986379768531e-01,2.810595931740707543e-01,2.841982060558808088e-01,2.831139704538437329e-01,2.793435802434069970e-01,2.660587918432079646e-01,2.567917230123772376e-01,2.338904145933944911e-01,2.208157696919420820e-01,1.934894499264649126e-01,1.802948502754770366e-01,1.576407595023385233e-01,1.491125274578683213e-01,1.389387883730682227e-01,1.373379180709901337e-01,1.403702702835997185e-01,1.444729658259451821e-01,1.561102567205553959e-01,1.628284873428100521e-01,1.759793773369466019e-01,1.816820466799707323e-01,1.900684647276892902e-01,1.924922611845579501e-01,1.937185006066969584e-01,1.926784423965525461e-01,1.880106521651375706e-01,1.847676120106377939e-01,1.775456366081780146e-01,1.740028824097982207e-01,1.680222967861170202e-01,1.658700094238989564e-01,1.636314824021055103e-01,1.635633567842379177e-01,1.652530561212544324e-01,1.667981142677403550e-01,1.706124017540211757e-01,1.725953595943151841e-01,1.760765622197942026e-01,1.773826098858725386e-01,1.788426469650487849e-01,1.789749093033561333e-01,1.781773532623232015e-01,1.773611224142375986e-01,1.752678391116355983e-01,1.741604616502591407e-01,1.721987022263300471e-01,1.714590754447264664e-01,1.706423855348140062e-01,1.705816931426086258e-01,1.710768151937258064e-01,1.715607504231556057e-01,1.727646339056478075e-01,1.733830277611349280e-01,1.744343661181578242e-01,1.748058038897272182e-01,1.751567285955669684e-01,1.751342895431680646e-01,1.747609064559578484e-01,1.744577655414427941e-01,1.737591643144102693e-01,1.734194403632308146e-01,1.728772177326556581e-01,1.727076175667624502e-01,1.726029768983291246e-01,1.726616022796426397e-01,1.729457524023342296e-01,1.731397391754385395e-01,1.735419032747956003e-01,1.737176761375543721e-01,1.739619458419313924e-01,1.740186172024216493e-01,1.739984753722048638e-01,1.739318519887303460e-01,1.737267446161826212e-01,1.736092442599803942e-01,1.733924867790378188e-01,1.733094823574664323e-01,1.732202575286933000e-01,1.732166413005839511e-01,1.732803826615489928e-01,1.734048547375099114e-01
9.000000000000000000e+00,1.594607042718605705e-02,1.202643187270605041e-05,2.839308452620356582e-05,9.184767444359726030e-05,1.536529573709401186e-04,4.076355102950214582e-04,6.545615308166698176e-04,1.628605810455055480e-03,2.535551656123558734e-03,5.801149101005244335e-03,8.531071220142159156e-03,1.741245494668759719e-02,2.419561867424761814e-02,4.434572758761912148e-02,5.850671519736556914e-02,9.620574840147264051e-02,1.191783583490539228e-01,1.667735587311868217e-01,1.875276024785484941e-01,2.181593282441992021e-01,2.271896618560630965e-01,2.401698384002208253e-01,2.423689026732601115e-01,2.415908324312134869e-01,2.389165596295878546e-01,2.293048708979812944e-01,2.224386860375059949e-01,2.049819470550399148e-01,1.947411049928388649e-01,1.727791516967255303e-01,1.619292822117321395e-01,1.429610423210591619e-01,1.357153443087985578e-01,1.270021837391757669e-01,1.256267292142739245e-01,1.282458807233959885e-01,1.317722048027694104e-01,1.417033856983758167e-01,1.473894611584550818e-01,1.584187717897292957e-01,1.631595345741555514e-01,1.700869922128153133e-01,1.720816185820219224e-01,1.731009167618662858e-01,1.722579036823789767e-01,1.684419407323717310e-01,1.657759268373591444e-01,1.598034344383252314e-01,1.568568250093260730e-01,1.518588643283541595e-01,1.500533085486295826e-01,1.481727502211892533e-01,1.481168387632160743e-01,1.495421406827421307e-01,1.508422465799548751e-01,1.540429325023334739e-01,1.557021490100073957e-01,1.586073746984655308e-01,1.596949309875461687e-01,1.609096531102374161e-01,1.610201638258657031e-01,1.603589958212923161e-01,1.596810706303795069e-01,1.579395032429274370e-01,1.570166305991493316e-01,1.553792297250764509e-01,1.547611068623707675e-01,1.540782265208603952e-01,1.540276206048255547e-01,1.544423373455983128e-01,1.548473065916229907e-01,1.558538151661127968e-01,1.563703475733910220e-01,1.572478031657300601e-01,1.575576106601114246e-01,1.578502798850943134e-01,1.578316498531056045e-01,1.575205348279324902e-01,1.572678171142654069e-01,1.566851011714500697e-01,1.564015818478474706e-01,1.559488752574148540e-01,1.558072331250945353e-01,1.557198623875042931e-01,1.557688626278363464e-01,1.560062545872459849e-01,1.561682730543821895e-01,1.565040590447273061e-01,1.566507787253919037e-01,1.568546360271453333e-01,1.569019289944967865e-01,1.568851403097760167e-01,1.568295589641148791e-01,1.566584134806456863e-01,1.565603517599501449e-01,1.563794232993049871e-01,1.563101294191585056e-01,1.562356389467779438e-01,1.562326224505660721e-01,1.562858486608734165e-01,1.563897717258150299e-01
