training_step,loss
0.000000000000000000e+00,1.160152501532712294e-03
1.000000000000000000e+00,1.160149581052832227e-03
2.000000000000000000e+00,1.159902495948493843e-03
3.000000000000000000e+00,1.159869951504071718e-03
4.000000000000000000e+00,1.159759112899789568e-03
5.000000000000000000e+00,1.159756480223112429e-03
6.000000000000000000e+00,1.159437618155130306e-03
7.000000000000000000e+00,1.159345295806889177e-03
8.000000000000000000e+00,1.158851327084785493e-03
9.000000000000000000e+00,1.161217308625302810e-03
1.000000000000000000e+01,1.161400989252689897e-03
1.100000000000000000e+01,1.158945023325506441e-03
1.200000000000000000e+01,1.159634372438838549e-03
1.300000000000000000e+01,1.160927344162948540e-03
1.400000000000000000e+01,1.156590357530398391e-03
1.500000000000000000e+01,1.156657899310737812e-03
1.600000000000000000e+01,1.154727905802243899e-03
1.700000000000000000e+01,1.152625391167430265e-03
1.800000000000000000e+01,1.152039933249632189e-03
1.900000000000000000e+01,1.149292702349145965e-03
2.000000000000000000e+01,1.140976670658768897e-03
2.100000000000000000e+01,1.139320006361024861e-03
2.200000000000000000e+01,1.129458663500982523e-03
2.300000000000000000e+01,1.114073847654552382e-03
2.400000000000000000e+01,1.092159844639318655e-03
2.500000000000000000e+01,1.065377082645176674e-03
2.600000000000000000e+01,1.027473002220870941e-03
2.700000000000000000e+01,9.738266680112322776e-04
2.800000000000000000e+01,9.029572939981420424e-04
2.900000000000000000e+01,8.111584403834944026e-04
3.000000000000000000e+01,6.971372873862310407e-04
3.100000000000000000e+01,5.500586288720854533e-04
3.200000000000000000e+01,3.884058811806209623e-04
3.300000000000000000e+01,2.349305735572111405e-04
3.400000000000000000e+01,9.304014320009802339e-05
3.500000000000000000e+01,6.767783838209023858e-06
3.600000000000000000e+01,2.422642984077927420e-05
3.700000000000000000e+01,1.318676786302722603e-04
3.800000000000000000e+01,2.284498915047252746e-04
3.900000000000000000e+01,2.350423090932677488e-04
4.000000000000000000e+01,1.801848647978661116e-04
4.100000000000000000e+01,9.944848436024639681e-05
4.200000000000000000e+01,3.566731577316677930e-05
4.300000000000000000e+01,3.780165266386312067e-06
4.400000000000000000e+01,2.834870457899250877e-06
4.500000000000000000e+01,2.254023391229143352e-05
4.600000000000000000e+01,4.626778071664646504e-05
4.700000000000000000e+01,6.908972168028003173e-05
4.800000000000000000e+01,8.006411178641149190e-05
4.900000000000000000e+01,8.012087919439159125e-05
5.000000000000000000e+01,7.042280140337097620e-05
5.100000000000000000e+01,5.214576580322266406e-05
5.200000000000000000e+01,3.460429165103561384e-05
5.300000000000000000e+01,1.467769006259380466e-05
5.400000000000000000e+01,2.869245550710455923e-06
5.500000000000000000e+01,1.243610615514997049e-07
5.600000000000000000e+01,5.466689868414297991e-06
5.700000000000000000e+01,1.563085230620017265e-05
5.800000000000000000e+01,2.433786281961943632e-05
5.900000000000000000e+01,2.817793032666446529e-05
6.000000000000000000e+01,2.535465731325567960e-05
6.100000000000000000e+01,1.800149823507070945e-05
6.200000000000000000e+01,9.326962125896250174e-06
6.300000000000000000e+01,2.706770412102421420e-06
6.400000000000000000e+01,4.155479766750277422e-08
6.500000000000000000e+01,1.044644624448199656e-06
6.600000000000000000e+01,4.228898971186503151e-06
6.700000000000000000e+01,7.514222370922753064e-06
