field,drift_velocity
0.000000000000e+00,-8.198149893804e-04
5.000000000000e-02,3.604426133863e-02
1.000000000000e-01,6.934226539424e-02
1.250000000000e-01,8.219020201334e-02
1.500000000000e-01,9.810308191402e-02
1.750000000000e-01,1.185649718763e-01
2.000000000000e-01,1.402119107951e-01
2.250000000000e-01,1.478251356517e-01
2.500000000000e-01,1.722407883881e-01
3.000000000000e-01,1.999998137337e-01
4.000000000000e-01,2.681230975649e-01
5.000000000000e-01,3.386520686142e-01
6.000000000000e-01,4.053764578473e-01
7.500000000000e-01,5.028646106095e-01
1.000000000000e+00,6.696193899571e-01
2.000000000000e+00,1.347366641982e+00
3.000000000000e+00,2.015087062610e+00
