r,g_AA,g_BB,g_AB
5.000000000000e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.050000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.150000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.250000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.350000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.450000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.550000000000e+00,6.053070782142e-07,0.000000000000e+00,0.000000000000e+00
1.650000000000e+00,2.786225444313e-05,0.000000000000e+00,0.000000000000e+00
1.750000000000e+00,5.190945465370e-04,0.000000000000e+00,0.000000000000e+00
1.850000000000e+00,4.801773273097e-03,0.000000000000e+00,0.000000000000e+00
1.950000000000e+00,2.320692171723e-02,0.000000000000e+00,0.000000000000e+00
2.050000000000e+00,6.412559828153e-02,0.000000000000e+00,3.334321107817e-06
2.150000000000e+00,1.233448613944e-01,1.170734443774e-06,1.166918664467e-04
2.250000000000e+00,2.098670852063e-01,4.202156382643e-05,1.574532765717e-03
2.350000000000e+00,3.515506466477e-01,5.869316048402e-04,9.323052436067e-03
2.450000000000e+00,5.603449783801e-01,3.679805094765e-03,3.166091643868e-02
2.550000000000e+00,8.193474928330e-01,1.292061284879e-02,8.570886097768e-02
2.650000000000e+00,1.074471304471e+00,3.440950401082e-02,1.976567905583e-01
2.750000000000e+00,1.270028208332e+00,8.359772292427e-02,3.728031192870e-01
2.850000000000e+00,1.395580938604e+00,1.722754528396e-01,6.082852964850e-01
2.950000000000e+00,1.458255687517e+00,2.865245160627e-01,8.692894132373e-01
3.050000000000e+00,1.465008961592e+00,4.200091755294e-01,1.068210927040e+00
3.150000000000e+00,1.445960688660e+00,6.043240967899e-01,1.213511570092e+00
3.250000000000e+00,1.419307791052e+00,8.465181404651e-01,1.334278513958e+00
3.350000000000e+00,1.356760703467e+00,1.075702620955e+00,1.354057874238e+00
3.450000000000e+00,1.268553158777e+00,1.245350381774e+00,1.296822147134e+00
3.550000000000e+00,1.223993367606e+00,1.377872319126e+00,1.281635149366e+00
3.650000000000e+00,1.233986091406e+00,1.477856125790e+00,1.258255341076e+00
3.750000000000e+00,1.229614689758e+00,1.518081279974e+00,1.171372380774e+00
3.850000000000e+00,1.204530854424e+00,1.478848776361e+00,1.075822812444e+00
3.950000000000e+00,1.177734643352e+00,1.401126258042e+00,1.032908910687e+00
4.050000000000e+00,1.147853605702e+00,1.343103912514e+00,1.033173174882e+00
4.150000000000e+00,1.112081460878e+00,1.296911006611e+00,1.047631760128e+00
4.250000000000e+00,1.094439331629e+00,1.241132579727e+00,1.050769975828e+00
4.350000000000e+00,1.107391438559e+00,1.194045896807e+00,1.025291135047e+00
4.450000000000e+00,1.135557048554e+00,1.158734969439e+00,9.989804724655e-01
4.550000000000e+00,1.164414204595e+00,1.117575336612e+00,1.003417134828e+00
4.650000000000e+00,1.186387015871e+00,1.072703857692e+00,1.024788716422e+00
4.750000000000e+00,1.179215992427e+00,1.035979477724e+00,1.029742691463e+00
4.850000000000e+00,1.155747845620e+00,1.010950370675e+00,1.011294119772e+00
4.950000000000e+00,1.138314833700e+00,1.003911348695e+00,9.971469081476e-01
5.050000000000e+00,1.131017754217e+00,1.011474538835e+00,1.010614410328e+00
5.150000000000e+00,1.124363473558e+00,1.007796708948e+00,1.042490430167e+00
5.250000000000e+00,1.113599962242e+00,9.835973963436e-01,1.057244552952e+00
5.350000000000e+00,1.120196004742e+00,9.641278179397e-01,1.041086280944e+00
5.450000000000e+00,1.138242712951e+00,9.709688356169e-01,1.007008158969e+00
5.550000000000e+00,1.147273523076e+00,9.972544338339e-01,9.832684636710e-01
5.650000000000e+00,1.163159877157e+00,1.008278585690e+00,9.859920029031e-01
5.750000000000e+00,1.168922076474e+00,1.007283597025e+00,9.938938391341e-01
5.850000000000e+00,1.153908466974e+00,1.007718138420e+00,9.904763226124e-01
5.950000000000e+00,1.132643762384e+00,1.010899764690e+00,9.898302243096e-01
6.050000000000e+00,1.108368734895e+00,1.019511287515e+00,9.721035147872e-01
6.150000000000e+00,1.092957237873e+00,1.027039316866e+00,9.518461644876e-01
6.250000000000e+00,1.094499958493e+00,1.023057451617e+00,9.716723323327e-01
6.350000000000e+00,1.085602693643e+00,1.003522246391e+00,1.004955137518e+00
6.450000000000e+00,1.058288590999e+00,9.831256577192e-01,1.018201331381e+00
6.550000000000e+00,1.037318142269e+00,9.875791698794e-01,1.015583466384e+00
6.650000000000e+00,1.032039662264e+00,1.005297147632e+00,1.012074140419e+00
6.750000000000e+00,1.035236942436e+00,1.011356765025e+00,1.000622862411e+00
6.850000000000e+00,1.036706706869e+00,9.971711024319e-01,9.893276676140e-01
6.950000000000e+00,1.032556540500e+00,9.797716113558e-01,9.884596006937e-01
7.050000000000e+00,1.031759465606e+00,9.776946771729e-01,9.945820230087e-01
7.150000000000e+00,1.031571366851e+00,9.767953420567e-01,9.984642575269e-01
7.250000000000e+00,1.024987905702e+00,9.717989947107e-01,9.958096097179e-01
7.350000000000e+00,1.018918158101e+00,9.671596941844e-01,9.875950397184e-01
7.450000000000e+00,1.017468988548e+00,9.579613402520e-01,9.788873170513e-01
7.550000000000e+00,1.012932223046e+00,9.518389157476e-01,9.694618212023e-01
7.650000000000e+00,1.009072858872e+00,9.677538832770e-01,9.578548249711e-01
7.750000000000e+00,1.011118075370e+00,9.957188245073e-01,9.656618453779e-01
7.850000000000e+00,1.012623912810e+00,1.008691827994e+00,9.913322080430e-01
7.950000000000e+00,1.010270109234e+00,1.008603497768e+00,1.009662378658e+00
8.050000000000e+00,1.013729714739e+00,1.007951313048e+00,1.021843235425e+00
8.150000000000e+00,1.019061916060e+00,1.009487137491e+00,1.037423777414e+00
8.250000000000e+00,1.019989554572e+00,1.006958774839e+00,1.047219617426e+00
8.350000000000e+00,1.016859107308e+00,1.001438532720e+00,1.051431050264e+00
8.450000000000e+00,1.008814960022e+00,9.955731179176e-01,1.051004671928e+00
8.550000000000e+00,1.002561912900e+00,9.917347051600e-01,1.039667862374e+00
8.650000000000e+00,1.003405654567e+00,9.924312956838e-01,1.033318640538e+00
8.750000000000e+00,1.005840011073e+00,1.003272608710e+00,1.031497856908e+00
8.850000000000e+00,1.005940857726e+00,1.017184625981e+00,1.007799918122e+00
8.950000000000e+00,1.001842396486e+00,1.017849754650e+00,9.628641356556e-01
9.050000000000e+00,9.959413925880e-01,1.007495293255e+00,9.367661804781e-01
9.150000000000e+00,9.947823750738e-01,1.005591959368e+00,9.452363018005e-01
9.250000000000e+00,9.958981997200e-01,1.011683584345e+00,9.618336760281e-01
9.350000000000e+00,9.958557258361e-01,1.007460598488e+00,9.765028707001e-01
9.450000000000e+00,9.939917186518e-01,9.964861553531e-01,9.853835891406e-01
9.550000000000e+00,9.906324411364e-01,9.905877024081e-01,9.826751180200e-01
9.650000000000e+00,9.840019231912e-01,9.868280885493e-01,9.828339670589e-01
9.750000000000e+00,9.803965681006e-01,9.820003671324e-01,9.855721853162e-01
9.850000000000e+00,9.837943779288e-01,9.827547944580e-01,9.814763071573e-01
9.950000000000e+00,9.866591923213e-01,9.852295904447e-01,9.776490382450e-01
