r,gle_g_AA,gle_g_BB,gle_g_AB,time_ps,gle_vacf
5.000000000000e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00
1.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.022741414175e-01,9.997632535911e-01
2.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.045482828350e-01,9.990776477002e-01
3.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.068224242526e-01,9.979691880755e-01
4.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.090965656701e-01,9.964632828083e-01
5.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.113707070876e-01,9.945850516059e-01
6.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.136448485051e-01,9.923591654463e-01
7.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.159189899226e-01,9.898096454988e-01
8.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.181931313402e-01,9.869597530477e-01
9.500000000000e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.204672727577e-01,9.838318473661e-01
1.050000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.022741414175e+00,9.804473948816e-01
1.150000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.125015555593e+00,9.768267468433e-01
1.250000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.227289697010e+00,9.729891207475e-01
1.350000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.329563838428e+00,9.689525683012e-01
1.450000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.431837979845e+00,9.647339766744e-01
1.550000000000e+00,6.053070782142e-07,0.000000000000e+00,0.000000000000e+00,1.534112121263e+00,9.603491251771e-01
1.650000000000e+00,2.786225444313e-05,0.000000000000e+00,0.000000000000e+00,1.636386262680e+00,9.558126762843e-01
1.750000000000e+00,5.190945465370e-04,0.000000000000e+00,0.000000000000e+00,1.738660404098e+00,9.511382382912e-01
1.850000000000e+00,4.801773273097e-03,0.000000000000e+00,0.000000000000e+00,1.840934545515e+00,9.463384925513e-01
1.950000000000e+00,2.320692171723e-02,0.000000000000e+00,0.000000000000e+00,1.943208686933e+00,9.414252172813e-01
2.050000000000e+00,6.412559828153e-02,0.000000000000e+00,3.334321107817e-06,2.045482828350e+00,9.364093138816e-01
2.150000000000e+00,1.233448613944e-01,1.170734443774e-06,1.166918664467e-04,2.147756969768e+00,9.313009080391e-01
2.250000000000e+00,2.098670852063e-01,4.202156382643e-05,1.574532765717e-03,2.250031111185e+00,9.261094234244e-01
2.350000000000e+00,3.515506466477e-01,5.869316048402e-04,9.323052436067e-03,2.352305252603e+00,9.208436085282e-01
2.450000000000e+00,5.603449783801e-01,3.679805094765e-03,3.166091643868e-02,2.454579394020e+00,9.155115289740e-01
2.550000000000e+00,8.193474928330e-01,1.292061284879e-02,8.570886097768e-02,2.556853535438e+00,9.101206527855e-01
2.650000000000e+00,1.074471304471e+00,3.440950401082e-02,1.976567905583e-01,2.659127676856e+00,9.046778819278e-01
2.750000000000e+00,1.270028208332e+00,8.359772292427e-02,3.728031192870e-01,2.761401818273e+00,8.991896651439e-01
2.850000000000e+00,1.395580938604e+00,1.722754528396e-01,6.082852964850e-01,2.863675959691e+00,8.936619743421e-01
2.950000000000e+00,1.458255687517e+00,2.865245160627e-01,8.692894132373e-01,2.965950101108e+00,8.881003677339e-01
3.050000000000e+00,1.465008961592e+00,4.200091755294e-01,1.068210927040e+00,3.068224242526e+00,8.825099828021e-01
3.150000000000e+00,1.445960688660e+00,6.043240967899e-01,1.213511570092e+00,3.170498383943e+00,8.768955170463e-01
3.250000000000e+00,1.419307791052e+00,8.465181404651e-01,1.334278513958e+00,3.272772525361e+00,8.712613996538e-01
3.350000000000e+00,1.356760703467e+00,1.075702620955e+00,1.354057874238e+00,3.375046666778e+00,8.656117474323e-01
3.450000000000e+00,1.268553158777e+00,1.245350381774e+00,1.296822147134e+00,3.477320808196e+00,8.599503430980e-01
3.550000000000e+00,1.223993367606e+00,1.377872319126e+00,1.281635149366e+00,3.579594949613e+00,8.542806712692e-01
3.650000000000e+00,1.233986091406e+00,1.477856125790e+00,1.258255341076e+00,3.681869091031e+00,8.486060054770e-01
3.750000000000e+00,1.229614689758e+00,1.518081279974e+00,1.171372380774e+00,3.784143232448e+00,8.429293500783e-01
3.850000000000e+00,1.204530854424e+00,1.478848776361e+00,1.075822812444e+00,3.886417373866e+00,8.372535550722e-01
3.950000000000e+00,1.177734643352e+00,1.401126258042e+00,1.032908910687e+00,3.988691515283e+00,8.315812096375e-01
4.050000000000e+00,1.147853605702e+00,1.343103912514e+00,1.033173174882e+00,4.090965656701e+00,8.259147353262e-01
4.150000000000e+00,1.112081460878e+00,1.296911006611e+00,1.047631760128e+00,4.193239798118e+00,8.202564145194e-01
4.250000000000e+00,1.094439331629e+00,1.241132579727e+00,1.050769975828e+00,4.295513939536e+00,8.146083826819e-01
4.350000000000e+00,1.107391438559e+00,1.194045896807e+00,1.025291135047e+00,4.397788080953e+00,8.089726470921e-01
4.450000000000e+00,1.135557048554e+00,1.158734969439e+00,9.989804724655e-01,4.500062222371e+00,8.033511141918e-01
4.550000000000e+00,1.164414204595e+00,1.117575336612e+00,1.003417134828e+00,4.602336363788e+00,7.977455514425e-01
4.650000000000e+00,1.186387015871e+00,1.072703857692e+00,1.024788716422e+00,4.704610505206e+00,7.921576400424e-01
4.750000000000e+00,1.179215992427e+00,1.035979477724e+00,1.029742691463e+00,4.806884646623e+00,7.865889280895e-01
4.850000000000e+00,1.155747845620e+00,1.010950370675e+00,1.011294119772e+00,4.909158788041e+00,7.810408532108e-01
4.950000000000e+00,1.138314833700e+00,1.003911348695e+00,9.971469081476e-01,5.011432929458e+00,7.755147547441e-01
5.050000000000e+00,1.131017754217e+00,1.011474538835e+00,1.010614410328e+00,5.113707070876e+00,7.700120116992e-01
5.150000000000e+00,1.124363473558e+00,1.007796708948e+00,1.042490430167e+00,5.215981212293e+00,7.645338950216e-01
5.250000000000e+00,1.113599962242e+00,9.835973963436e-01,1.057244552952e+00,5.318255353711e+00,7.590816025592e-01
5.350000000000e+00,1.120196004742e+00,9.641278179397e-01,1.041086280944e+00,5.420529495129e+00,7.536562377877e-01
5.450000000000e+00,1.138242712951e+00,9.709688356169e-01,1.007008158969e+00,5.522803636546e+00,7.482587937320e-01
5.550000000000e+00,1.147273523076e+00,9.972544338339e-01,9.832684636710e-01,5.625077777964e+00,7.428902277511e-01
5.650000000000e+00,1.163159877157e+00,1.008278585690e+00,9.859920029031e-01,5.727351919381e+00,7.375514594003e-01
5.750000000000e+00,1.168922076474e+00,1.007283597025e+00,9.938938391341e-01,5.829626060799e+00,7.322432788943e-01
5.850000000000e+00,1.153908466974e+00,1.007718138420e+00,9.904763226124e-01,5.931900202216e+00,7.269664882229e-01
5.950000000000e+00,1.132643762384e+00,1.010899764690e+00,9.898302243096e-01,6.034174343634e+00,7.217218046286e-01
6.050000000000e+00,1.108368734895e+00,1.019511287515e+00,9.721035147872e-01,6.136448485051e+00,7.165099277284e-01
6.150000000000e+00,1.092957237873e+00,1.027039316866e+00,9.518461644876e-01,6.238722626469e+00,7.113314750269e-01
6.250000000000e+00,1.094499958493e+00,1.023057451617e+00,9.716723323327e-01,6.340996767886e+00,7.061870570738e-01
6.350000000000e+00,1.085602693643e+00,1.003522246391e+00,1.004955137518e+00,6.443270909304e+00,7.010772112968e-01
6.450000000000e+00,1.058288590999e+00,9.831256577192e-01,1.018201331381e+00,6.545545050721e+00,6.960023308232e-01
6.550000000000e+00,1.037318142269e+00,9.875791698794e-01,1.015583466384e+00,6.647819192139e+00,6.909627661270e-01
6.650000000000e+00,1.032039662264e+00,1.005297147632e+00,1.012074140419e+00,6.750093333556e+00,6.859587804786e-01
6.750000000000e+00,1.035236942436e+00,1.011356765025e+00,1.000622862411e+00,6.852367474974e+00,6.809906023907e-01
