field,drift_velocity
0.000000000000e+00,-1.902981032129e-03
5.000000000000e-02,3.150497236572e-02
1.000000000000e-01,6.416232452384e-02
1.250000000000e-01,7.997449257908e-02
1.500000000000e-01,9.536814730045e-02
1.750000000000e-01,1.103572278313e-01
2.000000000000e-01,1.248859303494e-01
2.250000000000e-01,1.389081827198e-01
2.500000000000e-01,1.524048471487e-01
3.000000000000e-01,1.777703276850e-01
4.000000000000e-01,2.223521254779e-01
5.000000000000e-01,2.598734288067e-01
6.000000000000e-01,2.922952363067e-01
7.500000000000e-01,3.360878761028e-01
1.000000000000e+00,4.143815680627e-01
1.500000000000e+00,5.407849907335e-01
2.000000000000e+00,6.158946139517e-01
3.000000000000e+00,9.480643970289e-01
