field,drift_velocity,training_field
0.000000000000000000e+00,-1.902981032129485257e-03,5.000000000000000000e-01
5.000000000000000278e-02,3.154294522575994825e-02,5.000000000000000000e-01
1.000000000000000056e-01,6.443460329657862973e-02,5.000000000000000000e-01
1.250000000000000000e-01,8.046733486942130031e-02,5.000000000000000000e-01
1.499999999999999944e-01,9.615172925563023054e-02,5.000000000000000000e-01
1.749999999999999889e-01,1.115104708763143132e-01,5.000000000000000000e-01
2.000000000000000111e-01,1.264522027027421280e-01,5.000000000000000000e-01
2.250000000000000056e-01,1.409110446154891449e-01,5.000000000000000000e-01
2.500000000000000000e-01,1.548441768018694875e-01,5.000000000000000000e-01
2.999999999999999889e-01,1.809602227252502804e-01,5.000000000000000000e-01
4.000000000000000222e-01,2.256665496670023918e-01,5.000000000000000000e-01
5.000000000000000000e-01,2.598528541815197657e-01,5.000000000000000000e-01
5.999999999999999778e-01,2.839758642008589629e-01,5.000000000000000000e-01
7.500000000000000000e-01,3.044343512498077220e-01,5.000000000000000000e-01
1.000000000000000000e+00,3.091820151725777066e-01,5.000000000000000000e-01
1.500000000000000000e+00,2.730937402861333130e-01,5.000000000000000000e-01
2.000000000000000000e+00,2.285354017643269064e-01,5.000000000000000000e-01
3.000000000000000000e+00,1.621803087248390729e-01,5.000000000000000000e-01
0.000000000000000000e+00,-1.902981032129485040e-03,1.000000000000000000e+00
5.000000000000000278e-02,3.158316696586420391e-02,1.000000000000000000e+00
1.000000000000000056e-01,6.476541784189029927e-02,1.000000000000000000e+00
1.250000000000000000e-01,8.111200499409809694e-02,1.000000000000000000e+00
1.499999999999999944e-01,9.726165199610146972e-02,1.000000000000000000e+00
1.749999999999999889e-01,1.132699510956068079e-01,1.000000000000000000e+00
2.000000000000000111e-01,1.290545039613434641e-01,1.000000000000000000e+00
2.250000000000000056e-01,1.445681541346162391e-01,1.000000000000000000e+00
2.500000000000000000e-01,1.597822606712032689e-01,1.000000000000000000e+00
2.999999999999999889e-01,1.891833332534126055e-01,1.000000000000000000e+00
4.000000000000000222e-01,2.432657529825821008e-01,1.000000000000000000e+00
5.000000000000000000e-01,2.902751885732997028e-01,1.000000000000000000e+00
5.999999999999999778e-01,3.295475681468310047e-01,1.000000000000000000e+00
7.500000000000000000e-01,3.740291532695199650e-01,1.000000000000000000e+00
1.000000000000000000e+00,4.146134370962470950e-01,1.000000000000000000e+00
1.500000000000000000e+00,4.144698905691107660e-01,1.000000000000000000e+00
2.000000000000000000e+00,3.714464475671833688e-01,1.000000000000000000e+00
3.000000000000000000e+00,2.788485343309372033e-01,1.000000000000000000e+00
0.000000000000000000e+00,-1.902981032129485257e-03,2.000000000000000000e+00
5.000000000000000278e-02,3.160672497548345367e-02,2.000000000000000000e+00
1.000000000000000056e-01,6.496137143791927415e-02,2.000000000000000000e+00
1.250000000000000000e-01,8.149507275585998745e-02,2.000000000000000000e+00
1.499999999999999944e-01,9.792686719591239819e-02,2.000000000000000000e+00
1.749999999999999889e-01,1.143316668277272186e-01,2.000000000000000000e+00
2.000000000000000111e-01,1.306374386689538314e-01,2.000000000000000000e+00
2.250000000000000056e-01,1.468141695075423914e-01,2.000000000000000000e+00
2.500000000000000000e-01,1.628473427657948225e-01,2.000000000000000000e+00
2.999999999999999889e-01,1.944011699666947091e-01,2.000000000000000000e+00
4.000000000000000222e-01,2.550125578668597792e-01,2.000000000000000000e+00
5.000000000000000000e-01,3.120251154113273251e-01,2.000000000000000000e+00
5.999999999999999778e-01,3.644428721187327191e-01,2.000000000000000000e+00
7.500000000000000000e-01,4.339158743714808808e-01,2.000000000000000000e+00
1.000000000000000000e+00,5.230955226159182958e-01,2.000000000000000000e+00
1.500000000000000000e+00,6.111696615128376919e-01,2.000000000000000000e+00
2.000000000000000000e+00,6.157430129812547781e-01,2.000000000000000000e+00
3.000000000000000000e+00,5.293851130012467987e-01,2.000000000000000000e+00
