epoch,loss,training_field
0.000000000000000000e+00,5.287300328265992500e-03,5.000000000000000000e-01
1.000000000000000000e+00,5.278343516176103173e-03,5.000000000000000000e-01
2.000000000000000000e+00,5.196848208495073208e-03,5.000000000000000000e-01
3.000000000000000000e+00,4.871360927465378729e-03,5.000000000000000000e-01
4.000000000000000000e+00,3.981293940273192104e-03,5.000000000000000000e-01
5.000000000000000000e+00,2.273538597961287551e-03,5.000000000000000000e-01
6.000000000000000000e+00,2.976272529807044882e-04,5.000000000000000000e-01
7.000000000000000000e+00,1.005061383866281011e-03,5.000000000000000000e-01
8.000000000000000000e+00,1.602860888496631742e-03,5.000000000000000000e-01
9.000000000000000000e+00,5.878109783457729099e-04,5.000000000000000000e-01
1.000000000000000000e+01,4.620513549794100141e-06,5.000000000000000000e-01
1.100000000000000000e+01,2.364199773781879325e-04,5.000000000000000000e-01
1.200000000000000000e+01,6.175111558000546648e-04,5.000000000000000000e-01
1.300000000000000000e+01,7.551311386747271148e-04,5.000000000000000000e-01
1.400000000000000000e+01,6.124653574855407068e-04,5.000000000000000000e-01
1.500000000000000000e+01,3.055391335371254930e-04,5.000000000000000000e-01
1.600000000000000000e+01,4.302389985707187039e-05,5.000000000000000000e-01
1.700000000000000000e+01,3.532519549397984161e-05,5.000000000000000000e-01
1.800000000000000000e+01,2.618843641360396688e-04,5.000000000000000000e-01
1.900000000000000000e+01,4.139814329882515959e-04,5.000000000000000000e-01
2.000000000000000000e+01,3.113172851084150951e-04,5.000000000000000000e-01
2.100000000000000000e+01,1.007903104690243930e-04,5.000000000000000000e-01
2.200000000000000000e+01,4.424565077400799906e-07,5.000000000000000000e-01
2.300000000000000000e+01,5.699491985067463062e-05,5.000000000000000000e-01
2.400000000000000000e+01,1.653009755186819535e-04,5.000000000000000000e-01
2.500000000000000000e+01,2.163549864143465352e-04,5.000000000000000000e-01
2.600000000000000000e+01,1.752160912307995644e-04,5.000000000000000000e-01
2.700000000000000000e+01,7.990033506847083031e-05,5.000000000000000000e-01
2.800000000000000000e+01,7.393922379290708932e-06,5.000000000000000000e-01
2.900000000000000000e+01,1.543355141110527260e-05,5.000000000000000000e-01
3.000000000000000000e+01,8.211719699227444853e-05,5.000000000000000000e-01
3.100000000000000000e+01,1.219062816489454801e-04,5.000000000000000000e-01
3.200000000000000000e+01,8.873426432348215022e-05,5.000000000000000000e-01
3.300000000000000000e+01,2.608792591585398435e-05,5.000000000000000000e-01
3.400000000000000000e+01,3.756677618759259484e-08,5.000000000000000000e-01
3.500000000000000000e+01,2.312490086223702548e-05,5.000000000000000000e-01
3.600000000000000000e+01,5.801415520893139094e-05,5.000000000000000000e-01
3.700000000000000000e+01,6.670687356700767949e-05,5.000000000000000000e-01
3.800000000000000000e+01,4.286496894433213981e-05,5.000000000000000000e-01
3.900000000000000000e+01,1.077569760290777495e-05,5.000000000000000000e-01
4.000000000000000000e+01,4.941567413838959344e-07,5.000000000000000000e-01
4.100000000000000000e+01,1.764116339206223230e-05,5.000000000000000000e-01
4.200000000000000000e+01,3.713083489285270663e-05,5.000000000000000000e-01
4.300000000000000000e+01,3.406502335380510934e-05,5.000000000000000000e-01
4.400000000000000000e+01,1.374353224359949516e-05,5.000000000000000000e-01
4.500000000000000000e+01,3.865680039715060356e-07,5.000000000000000000e-01
4.600000000000000000e+01,5.393807514270563364e-06,5.000000000000000000e-01
4.700000000000000000e+01,1.804162347630509472e-05,5.000000000000000000e-01
4.800000000000000000e+01,2.222121288595723109e-05,5.000000000000000000e-01
4.900000000000000000e+01,1.385348653972098850e-05,5.000000000000000000e-01
5.000000000000000000e+01,2.779233279684278659e-06,5.000000000000000000e-01
5.100000000000000000e+01,5.838057689741715195e-07,5.000000000000000000e-01
5.200000000000000000e+01,7.547658789569074927e-06,5.000000000000000000e-01
5.300000000000000000e+01,1.311841600368797305e-05,5.000000000000000000e-01
5.400000000000000000e+01,9.989270889877656552e-06,5.000000000000000000e-01
5.500000000000000000e+01,2.719954493658846572e-06,5.000000000000000000e-01
5.600000000000000000e+01,7.563149013090593910e-08,5.000000000000000000e-01
5.700000000000000000e+01,3.638064483742723345e-06,5.000000000000000000e-01
5.800000000000000000e+01,7.494832883567334801e-06,5.000000000000000000e-01
5.900000000000000000e+01,6.630208053505831931e-06,5.000000000000000000e-01
6.000000000000000000e+01,2.422541281588713125e-06,5.000000000000000000e-01
6.100000000000000000e+01,7.076129880415316973e-09,5.000000000000000000e-01
6.200000000000000000e+01,1.673883553836369360e-06,5.000000000000000000e-01
6.300000000000000000e+01,4.328772396681413640e-06,5.000000000000000000e-01
6.400000000000000000e+01,4.112895225981136877e-06,5.000000000000000000e-01
6.500000000000000000e+01,1.510076305777974215e-06,5.000000000000000000e-01
6.600000000000000000e+01,2.947225040203740165e-09,5.000000000000000000e-01
6.700000000000000000e+01,1.047012717229162394e-06,5.000000000000000000e-01
6.800000000000000000e+01,2.625917208727178931e-06,5.000000000000000000e-01
6.900000000000000000e+01,2.460714758590204899e-06,5.000000000000000000e-01
7.000000000000000000e+01,8.892961426668651054e-07,5.000000000000000000e-01
7.100000000000000000e+01,3.453856968981430730e-10,5.000000000000000000e-01
