r,u_aa,u_ab,u_bb
1.000000000000e-01,1.500000000000e+00,1.500000000000e+00,1.500000000000e+00
2.000000000000e-01,1.401849145227e+00,1.417349229832e+00,1.426243814907e+00
3.000000000000e-01,1.310030603664e+00,1.339166068862e+00,1.355918150051e+00
4.000000000000e-01,1.224544375313e+00,1.265450517091e+00,1.289023005431e+00
5.000000000000e-01,1.145390460174e+00,1.196202574518e+00,1.225558381049e+00
6.000000000000e-01,1.072568858245e+00,1.131422241143e+00,1.165524276903e+00
7.000000000000e-01,1.006079569528e+00,1.071109516966e+00,1.108920692994e+00
8.000000000000e-01,9.459225940214e-01,1.015264401988e+00,1.055747629323e+00
9.000000000000e-01,8.920979317263e-01,9.638868962077e-01,1.006005085888e+00
1.000000000000e+00,8.446055826424e-01,9.169769996259e-01,9.596930626897e-01
1.100000000000e+00,8.034455467697e-01,8.745347122423e-01,9.168115597285e-01
1.200000000000e+00,7.686178241082e-01,8.365600340570e-01,8.773605770043e-01
1.300000000000e+00,7.401224146579e-01,8.030529650700e-01,8.413401145169e-01
1.400000000000e+00,7.179593184187e-01,7.740135052812e-01,8.087501722664e-01
1.500000000000e+00,7.021285353908e-01,7.494416546908e-01,7.795907502529e-01
1.600000000000e+00,6.926300655740e-01,7.293374132985e-01,7.538618484762e-01
1.700000000000e+00,6.894639089684e-01,7.137007811046e-01,7.315634669364e-01
1.800000000000e+00,5.594448254128e-01,7.025317581089e-01,7.126956056335e-01
1.900000000000e+00,4.462971092232e-01,6.958303443115e-01,6.972582645675e-01
2.000000000000e+00,3.480154602616e-01,6.935965397124e-01,6.852514437384e-01
2.100000000000e+00,2.635383217990e-01,5.648917048160e-01,6.766751431461e-01
2.200000000000e+00,1.920587526081e-01,4.525668137906e-01,6.715293627908e-01
2.300000000000e+00,1.328094915001e-01,3.548113356937e-01,6.698141026724e-01
2.400000000000e+00,8.498332933798e-02,2.706835057612e-01,5.460456062289e-01
2.500000000000e+00,4.768192013532e-02,1.994160413012e-01,4.377344054256e-01
2.600000000000e+00,1.987142834737e-02,1.402189931699e-01,3.434039060663e-01
2.700000000000e+00,3.547677437481e-04,9.221763495630e-02,2.621114199407e-01
2.800000000000e+00,-1.222229086722e-02,5.442814038334e-02,1.930396838763e-01
2.900000000000e+00,-1.931206099820e-02,2.575826787906e-02,1.353732544467e-01
3.000000000000e+00,-2.234836241567e-02,5.029889854390e-03,8.826329986769e-02
3.100000000000e+00,-2.260678136966e-02,-8.980642618077e-03,5.081169937423e-02
3.200000000000e+00,-2.111240528529e-02,-1.749720263192e-02,2.205061611277e-02
3.300000000000e+00,-1.864087316279e-02,-2.170758509905e-02,9.186466889879e-04
3.400000000000e+00,-1.577291389779e-02,-2.273499783728e-02,-1.373797220909e-02
3.500000000000e+00,-1.292730980913e-02,-2.160189909084e-02,-2.310606015688e-02
3.600000000000e+00,-1.036448511564e-02,-1.917991446353e-02,-2.830042498777e-02
3.700000000000e+00,-8.197302984456e-03,-1.614431059949e-02,-3.029197596391e-02
3.800000000000e+00,-6.412912863601e-03,-1.295271099856e-02,-2.993148082428e-02
3.900000000000e+00,-4.917484294647e-03,-9.855501495301e-03,-2.799873014561e-02
4.000000000000e+00,-3.632651553384e-03,-6.957478194731e-03,-2.514671908273e-02
4.100000000000e+00,-2.576136241482e-03,-4.328511276744e-03,-2.178181046016e-02
4.200000000000e+00,-1.807469460030e-03,-2.080337524906e-03,-1.809097141487e-02
4.300000000000e+00,-1.295731412047e-03,-3.319214513090e-04,-1.426145573732e-02
4.400000000000e+00,-9.171397291291e-04,8.856324637659e-04,-1.064146277915e-02
4.500000000000e+00,-6.141825352300e-04,1.668996927341e-03,-7.626684729324e-03
4.600000000000e+00,-5.008629632428e-04,2.189061831639e-03,-5.391708711205e-03
4.700000000000e+00,-7.654795371612e-04,2.595875217776e-03,-3.782250050828e-03
4.800000000000e+00,-1.472408822377e-03,2.949515840741e-03,-2.493598288426e-03
4.900000000000e+00,-2.455205068640e-03,3.217479009106e-03,-1.336287964967e-03
5.000000000000e+00,-3.382773249387e-03,3.335552948501e-03,-3.370453557962e-04
5.100000000000e+00,-3.946997887532e-03,3.278820165794e-03,3.609173668148e-04
5.200000000000e+00,-4.049475103551e-03,3.078250239668e-03,6.481264668436e-04
5.300000000000e+00,-3.849179173661e-03,2.773022691444e-03,5.203100051045e-04
5.400000000000e+00,-3.613499871756e-03,2.362887160886e-03,7.304412434785e-05
5.500000000000e+00,-3.486207850573e-03,1.827311452989e-03,-5.314643460391e-04
5.600000000000e+00,-3.385851805835e-03,1.193258427885e-03,-1.117145470357e-03
5.700000000000e+00,-3.124219288098e-03,5.684053153863e-04,-1.559318662791e-03
5.800000000000e+00,-2.612861736227e-03,9.907619854910e-05,-1.830436887817e-03
5.900000000000e+00,-1.964936683212e-03,-1.058562141530e-04,-2.005732551610e-03
6.000000000000e+00,-1.418797130754e-03,-3.035718250180e-05,-2.217525400894e-03
6.100000000000e+00,-1.155537384758e-03,2.367246379106e-04,-2.553972309006e-03
6.200000000000e+00,-1.159029530009e-03,5.414056155661e-04,-2.959022185660e-03
6.300000000000e+00,-1.234853796714e-03,7.431406229303e-04,-3.236019391120e-03
6.400000000000e+00,-1.168178611481e-03,7.771179488914e-04,-3.173771558770e-03
6.500000000000e+00,-8.754204794697e-04,6.569536905807e-04,-2.694996629630e-03
6.600000000000e+00,-4.275267002518e-04,4.424745570051e-04,-1.920392108434e-03
6.700000000000e+00,3.587625405520e-05,2.141390300262e-04,-1.111358444457e-03
6.800000000000e+00,3.941027428983e-04,5.177618605378e-05,-5.200085905088e-04
6.900000000000e+00,5.799318522347e-04,5.466832086062e-06,-2.374831842703e-04
7.000000000000e+00,5.838371408374e-04,7.700969158123e-05,-1.596294204586e-04
7.100000000000e+00,4.494439023025e-04,2.290515935835e-04,-1.030932775116e-04
7.200000000000e+00,2.607589261983e-04,4.066180331966e-04,3.756214469965e-05
7.300000000000e+00,1.208353328858e-04,5.522556735080e-04,2.306318999515e-04
7.400000000000e+00,1.109754048571e-04,6.219065734170e-04,3.740971249873e-04
7.500000000000e+00,2.292438356967e-04,6.096035198084e-04,4.036762236948e-04
7.600000000000e+00,3.603729920404e-04,5.562951627739e-04,3.439985483953e-04
7.700000000000e+00,3.423420618896e-04,5.159526619102e-04,2.752234862645e-04
7.800000000000e+00,9.746970233422e-05,5.099152022798e-04,2.639928912408e-04
7.900000000000e+00,-3.048263826410e-04,5.291046137955e-04,3.245939343136e-04
8.000000000000e+00,-7.187170357103e-04,5.762014801631e-04,4.329301851148e-04
8.100000000000e+00,-1.029935230111e-03,6.753176500670e-04,5.632534355109e-04
8.200000000000e+00,-1.195617197479e-03,8.255784439423e-04,7.034860141869e-04
8.300000000000e+00,-1.236944379977e-03,9.643869765594e-04,8.402340737389e-04
8.400000000000e+00,-1.232657328531e-03,9.977015839780e-04,9.501739542330e-04
8.500000000000e+00,-1.279920995364e-03,8.635405199174e-04,1.021239849480e-03
8.600000000000e+00,-1.405580389430e-03,5.608279911290e-04,1.071284731765e-03
8.700000000000e+00,-1.523953972890e-03,1.401873649291e-04,1.133820465045e-03
8.800000000000e+00,-1.513760693408e-03,-3.059172288129e-04,1.228561372420e-03
8.900000000000e+00,-1.327150978725e-03,-6.585444623704e-04,1.337572895302e-03
9.000000000000e+00,-1.013021400408e-03,-8.176792491295e-04,1.395037816798e-03
9.100000000000e+00,-6.677008851658e-04,-7.508979374640e-04,1.318019152247e-03
9.200000000000e+00,-3.878329223799e-04,-4.990162677113e-04,1.079387251879e-03
9.300000000000e+00,-2.365394824079e-04,-1.470671833214e-04,7.432593064724e-04
9.400000000000e+00,-2.055798922312e-04,1.982834283646e-04,4.027835002681e-04
9.500000000000e+00,-2.045286149302e-04,4.249945944753e-04,9.262312387704e-05
9.600000000000e+00,-1.157010611910e-04,4.586637336651e-04,-2.146645772872e-04
9.700000000000e+00,1.119656033068e-04,3.170074392771e-04,-5.361349631612e-04
9.800000000000e+00,4.077215091875e-04,1.090245956578e-04,-8.273392672439e-04
9.900000000000e+00,6.179829310516e-04,-3.488452935578e-05,-1.004485647175e-03
1.000000000000e+01,6.802128147600e-04,-7.610787358737e-05,-1.053447879877e-03
