time_ps,raw_memory_ps2,fitted_memory_ps2
0.000000000000e+00,9.554660847348e+00,9.553094785260e+00
1.000000000000e-03,9.552740714265e+00,9.551955836716e+00
2.000000000000e-03,9.549579145160e+00,9.548947554535e+00
3.000000000000e-03,9.545178728572e+00,9.544560304520e+00
4.000000000000e-03,9.539541753783e+00,9.538925777615e+00
5.000000000000e-03,9.532672673559e+00,9.532059051849e+00
6.000000000000e-03,9.524576222218e+00,9.523965131372e+00
7.000000000000e-03,9.515257279509e+00,9.514649303228e+00
8.000000000000e-03,9.504722187326e+00,9.504117650689e+00
9.000000000000e-03,9.492977945359e+00,9.492376873139e+00
1.000000000000e-02,9.480031413904e+00,9.479434058078e+00
1.100000000000e-02,9.465889666704e+00,9.465297057150e+00
1.200000000000e-02,9.450562662784e+00,9.449974832612e+00
1.300000000000e-02,9.434059766405e+00,9.433477066858e+00
1.400000000000e-02,9.416391401395e+00,9.415813886719e+00
1.500000000000e-02,9.397567730364e+00,9.396995873508e+00
1.600000000000e-02,9.377600278413e+00,9.377034216824e+00
1.700000000000e-02,9.356500150787e+00,9.355941002401e+00
1.800000000000e-02,9.334281777882e+00,9.333729332694e+00
1.900000000000e-02,9.310958481877e+00,9.310412643113e+00
2.000000000000e-02,9.286543250093e+00,9.286004474072e+00
2.100000000000e-02,9.261050284984e+00,9.260518923594e+00
2.200000000000e-02,9.234494327712e+00,9.233970866981e+00
2.300000000000e-02,9.206891447222e+00,9.206375845385e+00
2.400000000000e-02,9.178256963781e+00,9.177750012772e+00
2.500000000000e-02,9.148608442388e+00,9.148110265917e+00
2.600000000000e-02,9.117963952049e+00,9.117473580025e+00
2.700000000000e-02,9.086338161287e+00,9.085856654134e+00
2.800000000000e-02,9.053749332582e+00,9.053276729099e+00
2.900000000000e-02,9.020215130347e+00,9.019751683350e+00
3.000000000000e-02,8.985753904367e+00,8.985299840651e+00
3.100000000000e-02,8.950384306473e+00,8.949940060233e+00
3.200000000000e-02,8.914126235574e+00,8.913691631293e+00
3.300000000000e-02,8.876998968437e+00,8.876573830523e+00
3.400000000000e-02,8.839021256323e+00,8.838605831058e+00
3.500000000000e-02,8.800212630220e+00,8.799806989468e+00
3.600000000000e-02,8.760592535727e+00,8.760197020961e+00
3.700000000000e-02,8.720181254013e+00,8.719796086145e+00
3.800000000000e-02,8.678999823596e+00,8.678624537759e+00
3.900000000000e-02,8.637067366492e+00,8.636702779220e+00
4.000000000000e-02,8.594406091222e+00,8.594051417538e+00
4.100000000000e-02,8.551034971911e+00,8.550691100472e+00
4.200000000000e-02,8.506976441461e+00,8.506642575588e+00
4.300000000000e-02,8.462250044914e+00,8.461926347027e+00
4.400000000000e-02,8.416876018131e+00,8.416562907034e+00
4.500000000000e-02,8.370875965781e+00,8.370572975422e+00
4.600000000000e-02,8.324269593919e+00,8.323977335503e+00
4.700000000000e-02,8.277078856697e+00,8.276796946600e+00
4.800000000000e-02,8.229324201161e+00,8.229052735442e+00
4.900000000000e-02,8.181026556761e+00,8.180765550863e+00
5.000000000000e-02,8.132207023985e+00,8.131956087477e+00
5.100000000000e-02,8.082885594988e+00,8.082644716469e+00
5.200000000000e-02,8.033082119464e+00,8.032851796722e+00
5.300000000000e-02,7.982818441001e+00,7.982597670528e+00
5.400000000000e-02,7.932112816971e+00,7.931902323316e+00
5.500000000000e-02,7.880986433770e+00,7.880785722692e+00
5.600000000000e-02,7.829458415016e+00,7.829267791469e+00
5.700000000000e-02,7.777549441430e+00,7.777368212600e+00
5.800000000000e-02,7.725277805666e+00,7.725106276557e+00
5.900000000000e-02,7.672663284729e+00,7.672501079181e+00
