bin_centers,E_0.00,E_0.01,E_0.02,E_0.03,E_0.04,E_0.06,E_0.07,E_0.08,E_0.09,E_0.10
-2.712617805509855984e-01,1.673663434796380796e-04,0.000000000000000000e+00,1.673663434796380796e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796380796e-04,0.000000000000000000e+00
-2.630318674174222382e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796380796e-04,0.000000000000000000e+00,1.673663434796380796e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.548019542838587670e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796380796e-04,1.673663434796380796e-04,0.000000000000000000e+00,0.000000000000000000e+00
-2.465720411502953791e-01,1.673663434796380796e-04,6.694653739185523183e-04,0.000000000000000000e+00,1.673663434796380796e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673663434796380796e-04,1.673663434796380796e-04,1.673663434796380796e-04
-2.383421280167319634e-01,1.673663434796380796e-04,5.020990304389141845e-04,0.000000000000000000e+00,1.673663434796380796e-04,0.000000000000000000e+00,3.347326869592761591e-04,0.000000000000000000e+00,1.673663434796380796e-04,1.673663434796380796e-04,5.020990304389141845e-04
-2.301122148831685477e-01,1.673663434796380796e-04,5.020990304389141845e-04,5.020990304389141845e-04,3.347326869592761591e-04,0.000000000000000000e+00,3.347326869592761591e-04,1.673663434796380796e-04,3.347326869592761591e-04,1.673663434796380796e-04,1.673663434796380796e-04
-2.218823017496051320e-01,1.171564404357466503e-03,1.338930747837104637e-03,1.673663434796380796e-04,1.673663434796380796e-04,5.020990304389141845e-04,8.368317173981903436e-04,3.347326869592761591e-04,3.347326869592761591e-04,8.368317173981903436e-04,5.020990304389141845e-04
-2.136523886160417163e-01,1.506297091316742770e-03,1.673663434796380687e-03,5.020990304389141845e-04,1.673663434796380796e-04,6.694653739185523183e-04,6.694653739185523183e-04,3.347326869592761591e-04,6.694653739185523183e-04,3.347326869592761591e-04,1.004198060877828369e-03
-2.054224754824783006e-01,2.845227839153847190e-03,2.343128808714933006e-03,8.368317173981903436e-04,3.347326869592761591e-04,6.694653739185523183e-04,2.510495152194571356e-03,1.171564404357466503e-03,3.347326869592761591e-04,1.004198060877828369e-03,1.004198060877828369e-03
-1.971925623489148849e-01,4.853623960909504362e-03,4.518891273950228528e-03,2.008396121755656738e-03,2.343128808714933006e-03,6.694653739185523183e-04,2.845227839153847190e-03,1.506297091316742770e-03,1.338930747837104637e-03,1.506297091316742770e-03,2.008396121755656738e-03
-1.889626492153514692e-01,7.196752769624438668e-03,5.188356647868780196e-03,2.343128808714933006e-03,1.506297091316742770e-03,3.012594182633485541e-03,3.514693213072399725e-03,2.510495152194571356e-03,1.673663434796380687e-03,3.012594182633485541e-03,4.518891273950228528e-03
-1.807327360817880257e-01,1.188301038705426305e-02,8.703049860941150864e-03,5.355722991348400332e-03,4.351524930470575432e-03,5.355722991348400332e-03,3.179960526113113049e-03,2.677861495674200166e-03,4.351524930470575432e-03,5.690455678307676166e-03,2.677861495674200166e-03
-1.725028229482246100e-01,1.790819875232127489e-02,1.841029778276018908e-02,7.364119113104076152e-03,6.527287395705885266e-03,6.192554708746608565e-03,6.694653739185522749e-03,4.016792243511313476e-03,7.364119113104076152e-03,7.029386426144799450e-03,7.364119113104076152e-03
-1.642729098146611943e-01,3.330590235244797886e-02,2.025132756103620660e-02,1.188301038705430294e-02,1.154827770009502798e-02,1.271984210445249557e-02,1.004198060877828542e-02,9.037782547900457056e-03,1.037671329573756039e-02,1.288720844793213131e-02,1.405877285228959890e-02
-1.560429966810977787e-01,4.954043766997286852e-02,3.882899168727603489e-02,2.493758517846607348e-02,1.958186218711765667e-02,1.941449584363801745e-02,1.623453531752489312e-02,1.322194113489140975e-02,2.326392174366969517e-02,1.907976315667874248e-02,2.259445636975113830e-02
-1.478130835475343630e-01,8.134004293110411177e-02,5.539825969176020992e-02,4.117212049599097007e-02,3.196697160461087206e-02,2.744808033066064787e-02,2.359865443062896667e-02,2.041869390451584582e-02,3.380800138288689305e-02,3.113013988721268291e-02,3.347326869592761461e-02
-1.395831704139709473e-01,1.246879258923303813e-01,8.401790442677832538e-02,5.539825969176020992e-02,5.121410110476926070e-02,4.435208102210409786e-02,4.016792243511314170e-02,4.033528877859278439e-02,4.753204154821721178e-02,5.472879431784165305e-02,6.092134902658826595e-02
-1.313532572804075316e-01,1.926386613450634389e-01,1.384119660576606792e-01,9.991770705734394353e-02,7.481275553539822043e-02,6.226027977442536582e-02,6.376657686574210837e-02,6.192554708746608738e-02,7.431065650495931318e-02,9.021045913552493134e-02,8.903889473116746722e-02
-1.231233441468441159e-01,2.766565657718417226e-01,2.077016322582308505e-01,1.670316107926788085e-01,1.241858268618914463e-01,1.164869750618281047e-01,1.019261031790995864e-01,9.640301384427153730e-02,1.148133116270317333e-01,1.362362035924253867e-01,1.265289556706064023e-01
-1.148934310132807002e-01,4.234368490034843835e-01,3.010920519198689305e-01,2.388317721454435438e-01,1.991659487407693441e-01,1.836008787971629697e-01,1.631821848926471308e-01,1.553159667491041396e-01,1.934754930624616176e-01,2.100447610669458065e-01,2.145636523408960272e-01
-1.066635178797172845e-01,6.056987970528102672e-01,4.654458012168735115e-01,3.454441329419730145e-01,2.830164868240679921e-01,2.726397735283304646e-01,2.634346246369503319e-01,2.430159307324344931e-01,2.887069425023757185e-01,3.066151412546969657e-01,3.251928053809368113e-01
-9.843360474615386879e-02,8.693007880332401793e-01,6.544024030053849916e-01,5.260324175565025406e-01,4.681236627125476835e-01,4.165748289208192068e-01,3.916372437423530917e-01,3.621807672899368113e-01,4.237715816904435995e-01,4.515543947080635223e-01,4.709688905517016022e-01
-9.020369161259045310e-02,1.221439574714398679e+00,9.426072464773217474e-01,7.650315560454257202e-01,6.687959085446337770e-01,6.256153919268871988e-01,5.944852520396745055e-01,5.578320228176337769e-01,6.227701640877333356e-01,6.510550761357921656e-01,6.738168988490229605e-01
-8.197377847902702352e-02,1.691738999892175910e+00,1.296921795623711127e+00,1.072483529017517201e+00,9.598459798557211764e-01,8.885479175333955704e-01,8.775017388637394999e-01,8.619366689201333198e-01,8.980877991117348635e-01,9.385904542338072698e-01,9.126486709944633402e-01
-7.374386534546359395e-02,2.288400014397091731e+00,1.764543359305824399e+00,1.447551504755389740e+00,1.359349441741620534e+00,1.268302150888697355e+00,1.285875616954059497e+00,1.268469517232176935e+00,1.264954824019104640e+00,1.357341045619864905e+00,1.331399262380521087e+00
-6.551395221190017826e-02,2.966401071833105529e+00,2.371078988076032790e+00,2.033501073277602877e+00,1.843875006115172743e+00,1.758183438253597908e+00,1.729898526205539300e+00,1.656759434104937423e+00,1.752492982575290403e+00,1.888896552511195592e+00,1.766551755427580028e+00
-5.728403907833676256e-02,3.850597464436033235e+00,3.059958857838223079e+00,2.622463235982448904e+00,2.424134118959078155e+00,2.304299817027657404e+00,2.366225364115122964e+00,2.246725794870661819e+00,2.269654983927372083e+00,2.473841922972530583e+00,2.332082630045277050e+00
-4.905412594477334687e-02,4.770610254543603546e+00,3.876706614018857078e+00,3.463479111967630697e+00,3.197533992178485551e+00,3.119708642460453873e+00,3.083892244955811712e+00,2.977279884159282020e+00,3.040042262964146147e+00,3.116863414621299899e+00,3.070502937477440408e+00
-4.082421281120993117e-02,5.755895918608233686e+00,4.803079325178653214e+00,4.318219028118142511e+00,4.022482699189621869e+00,3.895953743519015244e+00,3.965745508750024406e+00,3.860472078701332244e+00,3.935284834236730145e+00,3.949678339775979374e+00,3.776788906961513259e+00
-3.259429967764651548e-02,6.767792831286124411e+00,5.723092115286224413e+00,5.161578032912038871e+00,4.925089389575309617e+00,4.864000674205241737e+00,4.879063645118409731e+00,4.682408191529834340e+00,4.710191004547454874e+00,4.675546171447169996e+00,4.521736501789382245e+00
-2.436438654408309978e-02,7.603118251592998256e+00,6.640594410241600798e+00,6.046611257232365588e+00,5.906190895052948697e+00,5.711711203929609404e+00,5.718405857668794390e+00,5.435556737188206533e+00,5.553047910310912272e+00,5.518235710867148036e+00,5.375472219879015690e+00
-1.613447341051968409e-02,8.301872735620488442e+00,7.556925140792619011e+00,6.855325428925975295e+00,6.661180470489595606e+00,6.462014521748827178e+00,6.499169850001306870e+00,6.306363822312762935e+00,6.399754241974401126e+00,6.110545200441586999e+00,5.969288006544772429e+00
-7.904560276956268394e-03,8.733175802767515705e+00,8.224884217619853999e+00,7.335332102025578394e+00,7.249640534164003114e+00,7.102190785558442521e+00,7.098006626971450572e+00,6.824864754412682366e+00,6.937837036261437440e+00,6.520927474653658962e+00,6.523940068836292738e+00
3.253528566071473005e-04,8.880960284060035903e+00,8.408485096417017246e+00,7.856845628308129825e+00,7.658683877628239323e+00,7.411651154652292739e+00,7.366629608256269890e+00,7.164116332645908081e+00,7.066039655366840755e+00,6.748210969099007528e+00,6.594401299441220665e+00
8.555265990170562995e-03,8.706062455123813493e+00,8.509574367878718348e+00,8.030069793809555989e+00,7.701194928872066470e+00,7.318428101334134794e+00,7.294996813246985568e+00,7.201271660898387772e+00,6.926288758561342185e+00,6.688963283507216140e+00,6.564777456645323639e+00
1.678517912373397869e-02,8.183377364436903889e+00,8.366810876890587778e+00,7.918101710021677953e+00,7.491819633179040316e+00,7.168969956606817462e+00,6.973988166453040094e+00,6.877752518952246596e+00,6.513730721884035013e+00,6.288622989903921656e+00,6.192722075090089540e+00
2.501509225729739438e-02,7.585377419184156977e+00,7.943541394230582142e+00,7.765965703798686448e+00,7.167128926828541857e+00,6.754403523807753551e+00,6.326949882560758631e+00,6.281593603477776178e+00,5.890291092422383024e+00,5.721753184538386883e+00,5.608948269033111167e+00
