time_step,temperature
0.000000000000000000e+00,8.068569000946393399e-02
1.000000000000000000e+00,8.050969286719568407e-02
2.000000000000000000e+00,8.038035171084612074e-02
3.000000000000000000e+00,8.028174405973864669e-02
4.000000000000000000e+00,8.020155755867904024e-02
5.000000000000000000e+00,8.012626990821322681e-02
6.000000000000000000e+00,8.003423409411515588e-02
7.000000000000000000e+00,7.993414732603876249e-02
8.000000000000000000e+00,7.984176342507766366e-02
9.000000000000000000e+00,7.979387212291473574e-02
1.000000000000000000e+01,7.969714475825871725e-02
1.100000000000000000e+01,7.958458167335075162e-02
1.200000000000000000e+01,7.944826477953965960e-02
1.300000000000000000e+01,7.930218048424714228e-02
1.400000000000000000e+01,7.911346276893581331e-02
1.500000000000000000e+01,7.892703845509639604e-02
1.600000000000000000e+01,7.877131206303354671e-02
1.700000000000000000e+01,7.862256959921966326e-02
1.800000000000000000e+01,7.849299808788103017e-02
1.900000000000000000e+01,7.835239965228986414e-02
2.000000000000000000e+01,7.821060146403509272e-02
2.100000000000000000e+01,7.812843292305447773e-02
2.200000000000000000e+01,7.803730113296188098e-02
2.300000000000000000e+01,7.796325515265369044e-02
2.400000000000000000e+01,7.785419413988688142e-02
2.500000000000000000e+01,7.773581598260098646e-02
2.600000000000000000e+01,7.760337582799485545e-02
2.700000000000000000e+01,7.750184605640456081e-02
2.800000000000000000e+01,7.739254140673511306e-02
2.900000000000000000e+01,7.726338743088451144e-02
3.000000000000000000e+01,7.715300821596611514e-02
3.100000000000000000e+01,7.707084704475018755e-02
3.200000000000000000e+01,7.697882735774345953e-02
3.300000000000000000e+01,7.690669552825264710e-02
3.400000000000000000e+01,7.685027923661703897e-02
3.500000000000000000e+01,7.671266470024624973e-02
3.600000000000000000e+01,7.659875747436134530e-02
3.700000000000000000e+01,7.647983693870376298e-02
3.800000000000000000e+01,7.636546665295264325e-02
3.900000000000000000e+01,7.625876537449273462e-02
4.000000000000000000e+01,7.618454294077976752e-02
4.100000000000000000e+01,7.612118299140731292e-02
4.200000000000000000e+01,7.606748793418195709e-02
4.300000000000000000e+01,7.597502133948279279e-02
4.400000000000000000e+01,7.591556814189161229e-02
4.500000000000000000e+01,7.584303171964817958e-02
4.600000000000000000e+01,7.575824058049947241e-02
4.700000000000000000e+01,7.571867803427138888e-02
4.800000000000000000e+01,7.564857177033652846e-02
4.900000000000000000e+01,7.559373471348047879e-02
5.000000000000000000e+01,7.555507178568884874e-02
5.100000000000000000e+01,7.548483033644810825e-02
5.200000000000000000e+01,7.542528762672921772e-02
5.300000000000000000e+01,7.536285080773870437e-02
5.400000000000000000e+01,7.535244794416633141e-02
5.500000000000000000e+01,7.532963218715622855e-02
5.600000000000000000e+01,7.530243549438651873e-02
5.700000000000000000e+01,7.530700223369775348e-02
5.800000000000000000e+01,7.527159790005709394e-02
5.900000000000000000e+01,7.526136973096998750e-02
6.000000000000000000e+01,7.523921205743526464e-02
6.100000000000000000e+01,7.521960863503415751e-02
6.200000000000000000e+01,7.520005338215900170e-02
6.300000000000000000e+01,7.520777186737297171e-02
6.400000000000000000e+01,7.519994204017320383e-02
6.500000000000000000e+01,7.516173962655704754e-02
6.600000000000000000e+01,7.511682625458447615e-02
6.700000000000000000e+01,7.506602176215537714e-02
6.800000000000000000e+01,7.501978704108581975e-02
6.900000000000000000e+01,7.495777043556513253e-02
7.000000000000000000e+01,7.487448292956799811e-02
7.100000000000000000e+01,7.481409786774306792e-02
7.200000000000000000e+01,7.473062838163381516e-02
7.300000000000000000e+01,7.469726296369351426e-02
7.400000000000000000e+01,7.468055284626848311e-02
7.500000000000000000e+01,7.467219951130021904e-02
7.600000000000000000e+01,7.462950880443201818e-02
7.700000000000000000e+01,7.459380830573204835e-02
7.800000000000000000e+01,7.460736975500698032e-02
7.900000000000000000e+01,7.465397433815663952e-02
8.000000000000000000e+01,7.469572089674218762e-02
8.100000000000000000e+01,7.474613144863036240e-02
8.200000000000000000e+01,7.479271419170259450e-02
8.300000000000000000e+01,7.486312464060705663e-02
8.400000000000000000e+01,7.489472893038051637e-02
8.500000000000000000e+01,7.492665071693199730e-02
8.600000000000000000e+01,7.493743505279482076e-02
8.700000000000000000e+01,7.502961226226388669e-02
8.800000000000000000e+01,7.512985762194700212e-02
8.900000000000000000e+01,7.522926405630532554e-02
9.000000000000000000e+01,7.529473130943858949e-02
9.100000000000000000e+01,7.535785705630722309e-02
9.200000000000000000e+01,7.541051609470071637e-02
9.300000000000000000e+01,7.547550940382222184e-02
9.400000000000000000e+01,7.555670146606412174e-02
9.500000000000000000e+01,7.565726391997752709e-02
9.600000000000000000e+01,7.569644329248349790e-02
9.700000000000000000e+01,7.570396038468606148e-02
9.800000000000000000e+01,7.567695475717579889e-02
9.900000000000000000e+01,7.563593099619644877e-02
1.000000000000000000e+02,7.562045119645488533e-02
1.010000000000000000e+02,7.556592962375836831e-02
1.020000000000000000e+02,7.550450035393080350e-02
1.030000000000000000e+02,7.543572276223622919e-02
1.040000000000000000e+02,7.540016639241034491e-02
1.050000000000000000e+02,7.539156291295205647e-02
1.060000000000000000e+02,7.536088222237251333e-02
1.070000000000000000e+02,7.533692275653976200e-02
1.080000000000000000e+02,7.532506567114409524e-02
1.090000000000000000e+02,7.533119827055269335e-02
1.100000000000000000e+02,7.532633898450093179e-02
1.110000000000000000e+02,7.535375253699136411e-02
1.120000000000000000e+02,7.540116857696556318e-02
1.130000000000000000e+02,7.542081121804554422e-02
1.140000000000000000e+02,7.549197217426294182e-02
1.150000000000000000e+02,7.554889087797404812e-02
1.160000000000000000e+02,7.561780955116705061e-02
1.170000000000000000e+02,7.569999341469048348e-02
1.180000000000000000e+02,7.579406100036241434e-02
1.190000000000000000e+02,7.586969352393320432e-02
1.200000000000000000e+02,7.594999576069384750e-02
1.210000000000000000e+02,7.602018036511051791e-02
1.220000000000000000e+02,7.609181090048716678e-02
1.230000000000000000e+02,7.613617844443928973e-02
1.240000000000000000e+02,7.619266222886533768e-02
1.250000000000000000e+02,7.622203842340839752e-02
1.260000000000000000e+02,7.625016089900592264e-02
1.270000000000000000e+02,7.626069476634080024e-02
1.280000000000000000e+02,7.626948605417228910e-02
1.290000000000000000e+02,7.631554920517218121e-02
1.300000000000000000e+02,7.635565749269139502e-02
1.310000000000000000e+02,7.639984076071597296e-02
1.320000000000000000e+02,7.641381564547682081e-02
1.330000000000000000e+02,7.638445774588821513e-02
