time_lag,vacf_aa_norm,vacf_ibi_norm,vacf_gle_norm
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,9.966922843677803456e-01,9.999703232449171919e-01,9.943279329677925382e-01
2.000000000000000000e+01,9.869007106195734069e-01,9.998935267031744401e-01,9.797914504488837162e-01
3.000000000000000000e+01,9.711937698029368127e-01,9.997703510505656643e-01,9.591559768946674724e-01
4.000000000000000000e+01,9.503999258745801093e-01,9.996020170659767334e-01,9.344549600978072634e-01
5.000000000000000000e+01,9.254801098862240893e-01,9.993902354078092465e-01,9.072025213008305666e-01
6.000000000000000000e+01,8.974156275681973716e-01,9.991371988416020145e-01,8.785238833428038463e-01
7.000000000000000000e+01,8.671291562277967380e-01,9.988454586582088401e-01,8.492379316159028857e-01
8.000000000000000000e+01,8.354397728942308810e-01,9.985178941395376206e-01,8.199326588127334725e-01
9.000000000000000000e+01,8.030444727862515730e-01,9.981576021243657726e-01,7.910355718954018567e-01
1.000000000000000000e+02,7.705168166535508734e-01,9.977678061465355963e-01,7.628522535044685027e-01
1.100000000000000000e+02,7.383149433187349286e-01,9.973517441897361557e-01,7.355883213479381677e-01
1.200000000000000000e+02,7.067939086581268571e-01,9.969126193951348691e-01,7.093753254613391901e-01
1.300000000000000000e+02,6.762196973656264820e-01,9.964535372973410965e-01,6.842857550550228707e-01
1.400000000000000000e+02,6.467832508760058552e-01,9.959774952730222619e-01,6.603540133225968001e-01
1.500000000000000000e+02,6.186133624712466528e-01,9.954872946372358422e-01,6.375817044387881438e-01
1.600000000000000000e+02,5.917881401970035427e-01,9.949855162048318880e-01,6.159521664970099009e-01
1.700000000000000000e+02,5.663452534460741150e-01,9.944744651727532858e-01,5.954400174389858913e-01
1.800000000000000000e+02,5.422909738129348955e-01,9.939561007311749075e-01,5.760124396431971494e-01
1.900000000000000000e+02,5.196077544261297199e-01,9.934318966933816109e-01,5.576283615669254123e-01
2.000000000000000000e+02,4.982602918924430302e-01,9.929028471115353138e-01,5.402364021419585605e-01
2.100000000000000000e+02,4.782003889481127312e-01,9.923694150022128735e-01,5.237759210680527078e-01
2.200000000000000000e+02,4.593709981979864909e-01,9.918316562025053518e-01,5.081878057512954072e-01
2.300000000000000000e+02,4.417094038442712089e-01,9.912893329835472667e-01,4.934154708185188865e-01
2.400000000000000000e+02,4.251494562043831027e-01,9.907420346014964574e-01,4.794028037186980340e-01
2.500000000000000000e+02,4.096233761546784757e-01,9.901893535026430326e-01,4.661027337987462271e-01
2.600000000000000000e+02,3.950636075530347679e-01,9.896310288814148537e-01,4.534699113183486840e-01
2.700000000000000000e+02,3.814044524446278395e-01,9.890669658666673136e-01,4.414565290860414937e-01
2.800000000000000000e+02,3.685830625173227570e-01,9.884972354518565263e-01,4.300119639628384172e-01
2.900000000000000000e+02,3.565397820403758411e-01,9.879220079215714767e-01,4.190839071186397424e-01
3.000000000000000000e+02,3.452181755363883386e-01,9.873415615507269427e-01,4.086273028529440188e-01
3.100000000000000000e+02,3.345650695903414351e-01,9.867561129755405558e-01,3.986086380595251222e-01
3.200000000000000000e+02,3.245305904586128776e-01,9.861658305686633597e-01,3.890044691809017574e-01
3.300000000000000000e+02,3.150681442658099796e-01,9.855708092886358296e-01,3.797997932100997120e-01
3.400000000000000000e+02,3.061343709741395913e-01,9.849710620508089765e-01,3.709769493251202643e-01
3.500000000000000000e+02,2.976889555313413926e-01,9.843665290801821843e-01,3.625141748755579818e-01
3.600000000000000000e+02,2.896942393306790597e-01,9.837571326583064435e-01,3.543871290732545920e-01
3.700000000000000000e+02,2.821147742363919186e-01,9.831427185687340309e-01,3.465728901001622342e-01
3.800000000000000000e+02,2.749170533797561933e-01,9.825230646861828898e-01,3.390473861741578609e-01
3.900000000000000000e+02,2.680695685664905570e-01,9.818979425995875143e-01,3.317917366104988219e-01
4.000000000000000000e+02,2.615430245410507726e-01,9.812671740699514533e-01,3.247939408663449989e-01
4.100000000000000000e+02,2.553103682625907922e-01,9.806306134977025302e-01,3.180415486449147400e-01
4.200000000000000000e+02,2.493466517552793971e-01,9.799881562979997351e-01,3.115229394880120739e-01
4.300000000000000000e+02,2.436289492128472511e-01,9.793397926531088871e-01,3.052217251367344564e-01
4.400000000000000000e+02,2.381364483107664687e-01,9.786856515399956491e-01,2.991294920093193199e-01
4.500000000000000000e+02,2.328507342490004350e-01,9.780259394297342590e-01,2.932330956802310373e-01
4.600000000000000000e+02,2.277561231018011556e-01,9.773610218138227834e-01,2.875200013808150712e-01
4.700000000000000000e+02,2.228398033282153190e-01,9.766914259377384999e-01,2.819917708564498859e-01
4.800000000000000000e+02,2.180915846072292164e-01,9.760178156541322592e-01,2.766365271645579993e-01
4.900000000000000000e+02,2.135032367872912173e-01,9.753409796687467770e-01,2.714362494896691569e-01
5.000000000000000000e+02,2.090677079595023580e-01,9.746618562584122847e-01,2.663791445779485900e-01
5.100000000000000000e+02,2.047785822042202108e-01,9.739815485426465136e-01,2.614547484639668795e-01
5.200000000000000000e+02,2.006297767938708676e-01,9.733012330884532881e-01,2.566480748938280154e-01
5.300000000000000000e+02,1.966152717952229234e-01,9.726221990078741664e-01,2.519539094391229916e-01
5.400000000000000000e+02,1.927288182380763881e-01,9.719457654293097715e-01,2.473767276155852957e-01
5.500000000000000000e+02,1.889636685036399089e-01,9.712733307926909587e-01,2.429251896894425722e-01
5.600000000000000000e+02,1.853123767172510650e-01,9.706063596568230700e-01,2.386070851084221844e-01
5.700000000000000000e+02,1.817668089796809772e-01,9.699463005021485840e-01,2.344236785378518428e-01
5.800000000000000000e+02,1.783185332538458068e-01,9.692945580852736498e-01,2.303735821144276552e-01
5.900000000000000000e+02,1.749596082539747743e-01,9.686525709430058306e-01,2.264583453271616087e-01
6.000000000000000000e+02,1.716833783455649076e-01,9.680216884275417710e-01,2.226796335105894753e-01
6.100000000000000000e+02,1.684847024092694101e-01,9.674031333139034849e-01,2.190319303553494301e-01
6.200000000000000000e+02,1.653597064877149747e-01,9.667980596540729499e-01,2.155085286108805731e-01
6.300000000000000000e+02,1.623055552332416385e-01,9.662074360235618498e-01,2.121007197347608564e-01
6.400000000000000000e+02,1.593203093258413194e-01,9.656319496682128634e-01,2.087937718759056704e-01
6.500000000000000000e+02,1.564026981924994120e-01,9.650720240988671650e-01,2.055735308244700521e-01
6.600000000000000000e+02,1.535517920319611207e-01,9.645277894609327607e-01,2.024333335500105024e-01
6.700000000000000000e+02,1.507666659099408946e-01,9.639990859713584159e-01,1.993707279891285267e-01
6.800000000000000000e+02,1.480461928012677952e-01,9.634854502244126762e-01,1.963884367811536413e-01
6.900000000000000000e+02,1.453889889637483834e-01,9.629860779347317878e-01,1.934937086914853555e-01
7.000000000000000000e+02,1.427933476620309172e-01,9.624998617620924568e-01,1.906921512859319767e-01
7.100000000000000000e+02,1.402571470755171745e-01,9.620254810419422986e-01,1.879824868260146220e-01
7.200000000000000000e+02,1.377779091092286856e-01,9.615614009309892962e-01,1.853573217108075710e-01
7.300000000000000000e+02,1.353530832030301889e-01,9.611059104103251149e-01,1.828071146364199095e-01
7.400000000000000000e+02,1.329804362468987033e-01,9.606572102570076765e-01,1.803176360445893078e-01
7.500000000000000000e+02,1.306583381282272194e-01,9.602134461404856491e-01,1.778787468936423866e-01
