r, g_AA_cg,g_CC_cg
2.500000000000000139e-02,2.781685209661565773e-15,1.145239979238876771e-11
7.499999999999999722e-02,1.747043570194620893e-14,4.412217466387424736e-11
1.250000000000000000e-01,2.779059263529476409e-13,4.310048151712209119e-10
1.749999999999999889e-01,4.902009353990877116e-12,4.675553721966707599e-09
2.250000000000000056e-01,8.031154907772730667e-11,4.720543600456039712e-08
2.750000000000000222e-01,1.142508754270465943e-09,4.149822245835821377e-07
3.250000000000000111e-01,1.367317015166236160e-08,3.080706619584816508e-06
3.750000000000000000e-01,1.355041376882581972e-07,1.903953670989722013e-05
4.249999999999999889e-01,1.104545276575663593e-06,9.752546611707657576e-05
4.749999999999999778e-01,7.404906682495493442e-06,4.154753114562481642e-04
5.250000000000000222e-01,4.107149652554653585e-05,1.488938927650451660e-03
5.750000000000000666e-01,1.907142868731170893e-04,4.576126579195261002e-03
6.250000000000000000e-01,7.538872305303812027e-04,1.236624456942081451e-02
6.750000000000000444e-01,2.584361471235752106e-03,3.009640797972679138e-02
7.250000000000000888e-01,7.802650332450866699e-03,6.693972647190093994e-02
7.750000000000000222e-01,2.093193121254444122e-02,1.363625973463058472e-01
8.250000000000000666e-01,5.005123838782310486e-02,2.531177401542663574e-01
8.750000000000000000e-01,1.068753078579902649e-01,4.259596467018127441e-01
9.250000000000000444e-01,2.046573311090469360e-01,6.490117907524108887e-01
9.749999999999999778e-01,3.537476956844329834e-01,8.975981473922729492e-01
1.024999999999999911e+00,5.554797649383544922e-01,1.133561134338378906e+00
1.075000000000000178e+00,7.961694598197937012e-01,1.319624423980712891e+00
1.125000000000000000e+00,1.045668005943298340e+00,1.434503436088562012e+00
1.175000000000000488e+00,1.265208959579467773e+00,1.478493690490722656e+00
1.225000000000000089e+00,1.422325015068054199e+00,1.467340707778930664e+00
1.274999999999999911e+00,1.502693772315979004e+00,1.421059012413024902e+00
1.325000000000000178e+00,1.511032462120056152e+00,1.355320811271667480e+00
1.375000000000000000e+00,1.463804006576538086e+00,1.279098868370056152e+00
1.425000000000000488e+00,1.381948709487915039e+00,1.197989583015441895e+00
1.475000000000000089e+00,1.286326766014099121e+00,1.118624567985534668e+00
1.524999999999999911e+00,1.192899465560913086e+00,1.049047470092773438e+00
1.575000000000000178e+00,1.108843088150024414e+00,9.952120780944824219e-01
1.625000000000000000e+00,1.035083770751953125e+00,9.583962559700012207e-01
1.675000000000000488e+00,9.734197854995727539e-01,9.362376332283020020e-01
1.725000000000000089e+00,9.290190935134887695e-01,9.254832267761230469e-01
1.774999999999999911e+00,9.058434367179870605e-01,9.236602783203125000e-01
1.824999999999999956e+00,9.024127125740051270e-01,9.291804432868957520e-01
1.875000000000000000e+00,9.130302667617797852e-01,9.409184455871582031e-01
1.925000000000000488e+00,9.315780401229858398e-01,9.578810930252075195e-01
1.975000000000000089e+00,9.535665512084960938e-01,9.789108633995056152e-01
2.025000000000000355e+00,9.760633111000061035e-01,1.002315521240234375e+00
2.075000000000000178e+00,9.972504973411560059e-01,1.025446414947509766e+00
2.125000000000000000e+00,1.016275048255920410e+00,1.044759988784790039e+00
2.174999999999999822e+00,1.032785773277282715e+00,1.057003140449523926e+00
2.225000000000000089e+00,1.046044111251831055e+00,1.060813307762145996e+00
2.275000000000000355e+00,1.054630160331726074e+00,1.057148694992065430e+00
2.325000000000000178e+00,1.057351946830749512e+00,1.048382401466369629e+00
2.375000000000000000e+00,1.054271697998046875e+00,1.037397027015686035e+00
2.425000000000000266e+00,1.046629190444946289e+00,1.027285695075988770e+00
2.475000000000000089e+00,1.036001563072204590e+00,1.020821094512939453e+00
2.525000000000000355e+00,1.023641943931579590e+00,1.019253849983215332e+00
2.575000000000000178e+00,1.010320067405700684e+00,1.021347999572753906e+00
2.625000000000000000e+00,9.966465830802917480e-01,1.023629188537597656e+00
2.675000000000000266e+00,9.836769104003906250e-01,1.022297501564025879e+00
2.725000000000000089e+00,9.731338620185852051e-01,1.016193032264709473e+00
2.775000000000000355e+00,9.668643474578857422e-01,1.008038401603698730e+00
2.825000000000000178e+00,9.659856557846069336e-01,1.001896619796752930e+00
2.875000000000000000e+00,9.701646566390991211e-01,9.995794296264648438e-01
2.925000000000000266e+00,9.771696925163269043e-01,1.000069737434387207e+00
2.975000000000000089e+00,9.833574295043945312e-01,1.001477479934692383e+00
3.025000000000000355e+00,9.856431484222412109e-01,1.002553224563598633e+00
3.075000000000000178e+00,9.836302995681762695e-01,1.002881646156311035e+00
