r,U_AA,U_CC,U_AC
2.500000000000000139e-02,1.000000000000000000e+10,1.000000000000000000e+10,1.000000000000000000e+10
7.499999999999999722e-02,9.230769152000000000e+09,9.090909184000000000e+09,9.166666752000000000e+09
1.250000000000000000e-01,8.461538304000000000e+09,8.181818368000000000e+09,8.333332992000000000e+09
1.749999999999999889e-01,7.692307456000000000e+09,7.272727552000000000e+09,7.500000256000000000e+09
2.250000000000000056e-01,6.923077120000000000e+09,6.363636224000000000e+09,6.666666496000000000e+09
2.750000000000000222e-01,6.153845760000000000e+09,5.454544896000000000e+09,5.833333248000000000e+09
3.250000000000000111e-01,5.384614912000000000e+09,4.545454592000000000e+09,5.000000000000000000e+09
3.750000000000000000e-01,4.615384576000000000e+09,3.636363776000000000e+09,4.166666240000000000e+09
4.249999999999999889e-01,3.846153728000000000e+09,2.727272448000000000e+09,3.333333248000000000e+09
4.749999999999999778e-01,3.076922880000000000e+09,1.818181248000000000e+09,2.500000000000000000e+09
5.250000000000000222e-01,2.307692288000000000e+09,9.090906880000000000e+08,1.666666240000000000e+09
5.750000000000000666e-01,1.538461440000000000e+09,4.649520492553710938e+01,8.333331840000000000e+08
6.250000000000000000e-01,7.692302080000000000e+08,3.394164657592773438e+01,4.437807846069335938e+01
6.750000000000000444e-01,4.632136917114257812e+01,2.577131462097167969e+01,3.366471099853515625e+01
7.250000000000000888e-01,3.468777847290039062e+01,1.918879890441894531e+01,2.579853439331054688e+01
7.750000000000000222e-01,2.654359054565429688e+01,1.371480751037597656e+01,1.936421775817871094e+01
8.250000000000000666e-01,1.994121551513671875e+01,9.232074737548828125e+00,1.397954845428466797e+01
8.750000000000000000e-01,1.442164039611816406e+01,5.669154167175292969e+00,9.547769546508789062e+00
9.250000000000000444e-01,9.865962028503417969e+00,2.950980901718139648e+00,6.007460117340087891e+00
9.749999999999999778e-01,6.208105564117431641e+00,9.898116588592529297e-01,3.289915561676025391e+00
1.024999999999999911e+00,3.379411220550537109e+00,-3.164667785167694092e-01,1.310904622077941895e+00
1.075000000000000178e+00,1.298830151557922363e+00,-1.081613302230834961e+00,-2.842603251338005066e-02
1.125000000000000000e+00,-1.285582929849624634e-01,-1.425860404968261719e+00,-8.371625542640686035e-01
1.175000000000000488e+00,-1.008838057518005371e+00,-1.471979975700378418e+00,-1.229737162590026855e+00
1.225000000000000089e+00,-1.455695271492004395e+00,-1.339972376823425293e+00,-1.319916129112243652e+00
1.274999999999999911e+00,-1.586644053459167480e+00,-1.129138946533203125e+00,-1.211882114410400391e+00
1.325000000000000178e+00,-1.513265371322631836e+00,-8.954837322235107422e-01,-9.914087653160095215e-01
1.375000000000000000e+00,-1.324203848838806152e+00,-6.565969586372375488e-01,-7.223602533340454102e-01
1.425000000000000488e+00,-1.074841618537902832e+00,-4.190989434719085693e-01,-4.472090899944305420e-01
1.475000000000000089e+00,-7.982525229454040527e-01,-1.933446824550628662e-01,-1.904826611280441284e-01
1.524999999999999911e+00,-5.265461206436157227e-01,4.139147698879241943e-03,3.133649006485939026e-02
1.575000000000000178e+00,-2.880076169967651367e-01,1.536835432052612305e-01,2.065048217773437500e-01
1.625000000000000000e+00,-8.724019676446914673e-02,2.486996352672576904e-01,3.355315923690795898e-01
1.675000000000000488e+00,8.258052170276641846e-02,3.006917238235473633e-01,4.248704910278320312e-01
1.725000000000000089e+00,2.117483168840408325e-01,3.232170939445495605e-01,4.729397296905517578e-01
1.774999999999999911e+00,2.828215360641479492e-01,3.243696689605712891e-01,4.738214612007141113e-01
1.824999999999999956e+00,2.968255877494812012e-01,3.079536855220794678e-01,4.279162287712097168e-01
1.875000000000000000e+00,2.714843153953552246e-01,2.736473083496093750e-01,3.449365794658660889e-01
1.925000000000000488e+00,2.229101806879043579e-01,2.203659415245056152e-01,2.407142221927642822e-01
1.975000000000000089e+00,1.588164716958999634e-01,1.497026383876800537e-01,1.323051452636718750e-01
2.025000000000000355e+00,8.206228911876678467e-02,6.993895024061203003e-02,3.553552553057670593e-02
2.075000000000000178e+00,-5.302608013153076172e-03,-1.830756664276123047e-03,-3.980995714664459229e-02
2.125000000000000000e+00,-9.830410033464431763e-02,-5.182695761322975159e-02,-9.355241805315017700e-02
2.174999999999999822e+00,-1.854157745838165283e-01,-8.005751669406890869e-02,-1.288556158542633057e-01
2.225000000000000089e+00,-2.518510222434997559e-01,-8.963445574045181274e-02,-1.458150148391723633e-01
2.275000000000000355e+00,-2.874365746974945068e-01,-7.971242070198059082e-02,-1.437828391790390015e-01
2.325000000000000178e+00,-2.905969619750976562e-01,-5.464699119329452515e-02,-1.254584789276123047e-01
2.375000000000000000e+00,-2.678057551383972168e-01,-2.344360947608947754e-02,-9.584399312734603882e-02
2.425000000000000266e+00,-2.293152660131454468e-01,8.861854672431945801e-03,-6.074698641896247864e-02
2.475000000000000089e+00,-1.830401569604873657e-01,3.682559728622436523e-02,-2.856373786926269531e-02
2.525000000000000355e+00,-1.319355219602584839e-01,5.207367986440658569e-02,-6.663606502115726471e-03
