y_centers,rho_A_target,rho_C_target,rho_A_iter_1,rho_C_iter_1
4.224120140075683594e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.272361755371093750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.320602416992187500e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.368844032287597656e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.417085647583007812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.465326309204101562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.513567924499511719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.561808586120605469e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.610050201416015625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.658290863037109375e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.706532478332519531e+00,0.000000000000000000e+00,1.548466971144080162e-04,0.000000000000000000e+00,1.521954345662379637e-05
4.754773616790771484e+00,0.000000000000000000e+00,1.703313551843166351e-03,0.000000000000000000e+00,1.963321119546890259e-03
4.803014755249023438e+00,1.570845197420567274e-04,1.579436287283897400e-02,3.127834497718140483e-05,1.668061874806880951e-02
4.851256370544433594e+00,3.927112556993961334e-03,7.138431817293167114e-02,3.784679807722568512e-03,6.920326501131057739e-02
4.899497032165527344e+00,3.487276285886764526e-02,2.280891686677932739e-01,3.021488338708877563e-02,2.344874888658523560e-01
4.947738647460937500e+00,1.606974452733993530e-01,5.184267163276672363e-01,1.561727821826934814e-01,5.000076293945312500e-01
4.995979785919189453e+00,4.531888365745544434e-01,9.286155700683593750e-01,4.245253503322601318e-01,8.695533871650695801e-01
