iteration,loss
0.000000000000000000e+00,1.178389489650726318e-01
1.000000000000000000e+00,1.042616590857505798e-01
2.000000000000000000e+00,8.969227224588394165e-02
3.000000000000000000e+00,7.509598881006240845e-02
4.000000000000000000e+00,6.129443645477294922e-02
5.000000000000000000e+00,4.835670441389083862e-02
6.000000000000000000e+00,3.667890280485153198e-02
7.000000000000000000e+00,2.706742659211158752e-02
8.000000000000000000e+00,1.891935430467128754e-02
9.000000000000000000e+00,1.293442957103252411e-02
1.000000000000000000e+01,1.003616861999034882e-02
1.100000000000000000e+01,1.080524735152721405e-02
1.200000000000000000e+01,1.451454777270555496e-02
1.300000000000000000e+01,1.867471635341644287e-02
1.400000000000000000e+01,2.050929144024848938e-02
1.500000000000000000e+01,1.947727799415588379e-02
1.600000000000000000e+01,1.619946584105491638e-02
1.700000000000000000e+01,1.256508287042379379e-02
1.800000000000000000e+01,9.431819431483745575e-03
1.900000000000000000e+01,7.428499870002269745e-03
2.000000000000000000e+01,6.498046685010194778e-03
2.100000000000000000e+01,6.447052583098411560e-03
2.200000000000000000e+01,6.922944448888301849e-03
2.300000000000000000e+01,7.575890514999628067e-03
2.400000000000000000e+01,8.047776296734809875e-03
2.500000000000000000e+01,8.432897739112377167e-03
2.600000000000000000e+01,8.398330770432949066e-03
2.700000000000000000e+01,8.045485243201255798e-03
2.800000000000000000e+01,7.418177556246519089e-03
2.900000000000000000e+01,6.231971550732851028e-03
3.000000000000000000e+01,5.750436335802078247e-03
3.100000000000000000e+01,4.902077838778495789e-03
3.200000000000000000e+01,3.966441843658685684e-03
3.300000000000000000e+01,3.551045199856162071e-03
3.400000000000000000e+01,3.266969462856650352e-03
3.500000000000000000e+01,3.288604551926255226e-03
3.600000000000000000e+01,3.420560155063867569e-03
3.700000000000000000e+01,3.423597896471619606e-03
3.800000000000000000e+01,3.412420395761728287e-03
3.900000000000000000e+01,3.443376393988728523e-03
4.000000000000000000e+01,3.266282379627227783e-03
4.100000000000000000e+01,2.911476884037256241e-03
4.200000000000000000e+01,2.493505133315920830e-03
4.300000000000000000e+01,2.183967968448996544e-03
4.400000000000000000e+01,2.136006951332092285e-03
4.500000000000000000e+01,1.862142235040664673e-03
4.600000000000000000e+01,1.655115978792309761e-03
4.700000000000000000e+01,1.785371452569961548e-03
4.800000000000000000e+01,1.893272623419761658e-03
4.900000000000000000e+01,1.834691734984517097e-03
5.000000000000000000e+01,1.798114157281816006e-03
5.100000000000000000e+01,1.764936372637748718e-03
5.200000000000000000e+01,1.725397771224379539e-03
5.300000000000000000e+01,1.489278161898255348e-03
5.400000000000000000e+01,1.342188334092497826e-03
5.500000000000000000e+01,1.225664047524333000e-03
5.600000000000000000e+01,1.208992442116141319e-03
5.700000000000000000e+01,1.171837793663144112e-03
5.800000000000000000e+01,1.166554749943315983e-03
5.900000000000000000e+01,1.172315096482634544e-03
6.000000000000000000e+01,1.215929631143808365e-03
6.100000000000000000e+01,1.131531316787004471e-03
6.200000000000000000e+01,1.121861278079450130e-03
6.300000000000000000e+01,1.075519248843193054e-03
6.400000000000000000e+01,9.375915979035198689e-04
6.500000000000000000e+01,9.276026394218206406e-04
6.600000000000000000e+01,1.115763559937477112e-03
6.700000000000000000e+01,1.126382383517920971e-03
6.800000000000000000e+01,1.194669632241129875e-03
6.900000000000000000e+01,8.835065527819097042e-04
7.000000000000000000e+01,8.802882512100040913e-04
7.100000000000000000e+01,8.819199283607304096e-04
7.200000000000000000e+01,8.755232556723058224e-04
7.300000000000000000e+01,8.444713312201201916e-04
7.400000000000000000e+01,8.106288732960820198e-04
7.500000000000000000e+01,8.113381336443126202e-04
7.600000000000000000e+01,7.940405048429965973e-04
7.700000000000000000e+01,7.923702360130846500e-04
7.800000000000000000e+01,7.824778440408408642e-04
7.900000000000000000e+01,6.251596496440470219e-04
8.000000000000000000e+01,6.156422896310687065e-04
8.100000000000000000e+01,6.196386530064046383e-04
8.200000000000000000e+01,5.924003198742866516e-04
8.300000000000000000e+01,7.733609527349472046e-04
8.400000000000000000e+01,7.653402280993759632e-04
8.500000000000000000e+01,7.666985620744526386e-04
8.600000000000000000e+01,7.665217854082584381e-04
8.700000000000000000e+01,7.627661689184606075e-04
8.800000000000000000e+01,7.655037916265428066e-04
8.900000000000000000e+01,7.596715004183351994e-04
9.000000000000000000e+01,7.579172961413860321e-04
9.100000000000000000e+01,7.551221642643213272e-04
9.200000000000000000e+01,7.507778354920446873e-04
9.300000000000000000e+01,7.484956295229494572e-04
9.400000000000000000e+01,7.414528517983853817e-04
9.500000000000000000e+01,7.388385129161179066e-04
9.600000000000000000e+01,7.374078268185257912e-04
9.700000000000000000e+01,7.420004112645983696e-04
9.800000000000000000e+01,5.229722009971737862e-04
9.900000000000000000e+01,5.269495304673910141e-04
1.000000000000000000e+02,5.211505340412259102e-04
1.010000000000000000e+02,5.394413019530475140e-04
1.020000000000000000e+02,5.637353169731795788e-04
1.030000000000000000e+02,5.604948964901268482e-04
1.040000000000000000e+02,5.590697983279824257e-04
1.050000000000000000e+02,5.619039293378591537e-04
1.060000000000000000e+02,5.689441459253430367e-04
1.070000000000000000e+02,5.569340428337454796e-04
1.080000000000000000e+02,5.511071067303419113e-04
1.090000000000000000e+02,5.547321634367108345e-04
1.100000000000000000e+02,5.163189489394426346e-04
1.110000000000000000e+02,4.942536470480263233e-04
1.120000000000000000e+02,4.894665908068418503e-04
1.130000000000000000e+02,5.057277739979326725e-04
1.140000000000000000e+02,5.081524141132831573e-04
1.150000000000000000e+02,5.233770934864878654e-04
1.160000000000000000e+02,5.275403964333236217e-04
1.170000000000000000e+02,4.931414150632917881e-04
1.180000000000000000e+02,4.814505227841436863e-04
1.190000000000000000e+02,5.378689966164529324e-04
1.200000000000000000e+02,4.992587491869926453e-04
1.210000000000000000e+02,4.737037234008312225e-04
1.220000000000000000e+02,5.026200669817626476e-04
1.230000000000000000e+02,4.882077919319272041e-04
1.240000000000000000e+02,4.912232398055493832e-04
1.250000000000000000e+02,4.840927431359887123e-04
1.260000000000000000e+02,4.882161738350987434e-04
1.270000000000000000e+02,5.119175766594707966e-04
1.280000000000000000e+02,4.890138516202569008e-04
1.290000000000000000e+02,4.764066543430089951e-04
1.300000000000000000e+02,4.733573587145656347e-04
1.310000000000000000e+02,4.708644701167941093e-04
1.320000000000000000e+02,4.728906787931919098e-04
1.330000000000000000e+02,4.661688872147351503e-04
1.340000000000000000e+02,4.648035392165184021e-04
1.350000000000000000e+02,4.595184873323887587e-04
1.360000000000000000e+02,6.831003120169043541e-04
1.370000000000000000e+02,6.855591200292110443e-04
1.380000000000000000e+02,6.846875185146927834e-04
1.390000000000000000e+02,4.552937753032892942e-04
1.400000000000000000e+02,4.671010829042643309e-04
