iteration,loss
0.000000000000000000e+00,1.263198107481002808e-01
1.000000000000000000e+00,8.301356434822082520e-02
2.000000000000000000e+00,6.710751354694366455e-02
3.000000000000000000e+00,6.064198911190032959e-02
4.000000000000000000e+00,6.348764151334762573e-02
5.000000000000000000e+00,6.432690471410751343e-02
6.000000000000000000e+00,6.047580018639564514e-02
7.000000000000000000e+00,5.295021459460258484e-02
8.000000000000000000e+00,4.292543604969978333e-02
9.000000000000000000e+00,3.110849857330322266e-02
1.000000000000000000e+01,2.052135579288005829e-02
1.100000000000000000e+01,1.860611699521541595e-02
1.200000000000000000e+01,2.367307804524898529e-02
1.300000000000000000e+01,2.533108182251453400e-02
1.400000000000000000e+01,1.446328312158584595e-02
1.500000000000000000e+01,7.447739131748676300e-03
1.600000000000000000e+01,5.513045005500316620e-03
1.700000000000000000e+01,6.965739186853170395e-03
1.800000000000000000e+01,8.324761874973773956e-03
1.900000000000000000e+01,8.556814864277839661e-03
2.000000000000000000e+01,6.725551560521125793e-03
2.100000000000000000e+01,4.336127545684576035e-03
2.200000000000000000e+01,2.890984527766704559e-03
2.300000000000000000e+01,3.678994253277778625e-03
2.400000000000000000e+01,5.550824105739593506e-03
2.500000000000000000e+01,6.693311501294374466e-03
2.600000000000000000e+01,5.550974048674106598e-03
2.700000000000000000e+01,3.651408711448311806e-03
2.800000000000000000e+01,3.713493701070547104e-03
2.900000000000000000e+01,4.899033810943365097e-03
3.000000000000000000e+01,5.487218964844942093e-03
3.100000000000000000e+01,5.533359479159116745e-03
3.200000000000000000e+01,4.880254156887531281e-03
3.300000000000000000e+01,3.430208424106240273e-03
3.400000000000000000e+01,3.392355516552925110e-03
3.500000000000000000e+01,3.857565345242619514e-03
3.600000000000000000e+01,4.385987762361764908e-03
3.700000000000000000e+01,3.959080204367637634e-03
3.800000000000000000e+01,3.160222433507442474e-03
3.900000000000000000e+01,2.938069636002182961e-03
4.000000000000000000e+01,3.036165377125144005e-03
4.100000000000000000e+01,3.042600816115736961e-03
4.200000000000000000e+01,3.170317737385630608e-03
4.300000000000000000e+01,3.133514430373907089e-03
4.400000000000000000e+01,2.817792585119605064e-03
4.500000000000000000e+01,3.175416495651006699e-03
4.600000000000000000e+01,3.121789311990141869e-03
4.700000000000000000e+01,3.483244683593511581e-03
4.800000000000000000e+01,3.127126256003975868e-03
4.900000000000000000e+01,2.923006424680352211e-03
5.000000000000000000e+01,4.011491313576698303e-03
5.100000000000000000e+01,4.081125836819410324e-03
5.200000000000000000e+01,3.158867359161376953e-03
5.300000000000000000e+01,3.132842946797609329e-03
5.400000000000000000e+01,3.241991158574819565e-03
5.500000000000000000e+01,3.112858161330223083e-03
5.600000000000000000e+01,2.843355992808938026e-03
5.700000000000000000e+01,3.063271986320614815e-03
5.800000000000000000e+01,2.911024959757924080e-03
5.900000000000000000e+01,2.777584129944443703e-03
6.000000000000000000e+01,2.652652794495224953e-03
6.100000000000000000e+01,2.440304495394229889e-03
6.200000000000000000e+01,2.325657522305846214e-03
6.300000000000000000e+01,2.411657012999057770e-03
6.400000000000000000e+01,2.440940355882048607e-03
6.500000000000000000e+01,2.410401822999119759e-03
6.600000000000000000e+01,2.364349318668246269e-03
6.700000000000000000e+01,2.331263851374387741e-03
6.800000000000000000e+01,2.361015416681766510e-03
6.900000000000000000e+01,2.339819911867380142e-03
7.000000000000000000e+01,2.314845565706491470e-03
7.100000000000000000e+01,2.396730938926339149e-03
7.200000000000000000e+01,2.298274775967001915e-03
7.300000000000000000e+01,2.502298215404152870e-03
7.400000000000000000e+01,2.864937065169215202e-03
7.500000000000000000e+01,3.008551197126507759e-03
7.600000000000000000e+01,3.196951001882553101e-03
7.700000000000000000e+01,2.692802110686898232e-03
7.800000000000000000e+01,2.442783443257212639e-03
7.900000000000000000e+01,2.830957528203725815e-03
