lag_index,vacf_aa,vacf_gle,vacf_ibi
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.051224112510681152e-01,7.555178403854370117e-01,8.988636732101440430e-01
2.000000000000000000e+00,3.394935727119445801e-01,4.779281020164489746e-01,7.485722899436950684e-01
3.000000000000000000e+00,1.486189365386962891e-01,3.051444888114929199e-01,6.653290987014770508e-01
4.000000000000000000e+00,7.416823506355285645e-02,2.163698375225067139e-01,6.546369194984436035e-01
5.000000000000000000e+00,4.792810231447219849e-02,1.592493355274200439e-01,6.540489196777343750e-01
6.000000000000000000e+00,3.689247369766235352e-02,1.102223545312881470e-01,6.286037564277648926e-01
7.000000000000000000e+00,3.030740283429622650e-02,6.994384527206420898e-02,5.890348553657531738e-01
8.000000000000000000e+00,2.568718232214450836e-02,4.396089538931846619e-02,5.596270561218261719e-01
9.000000000000000000e+00,2.204183489084243774e-02,3.134580329060554504e-02,5.505617856979370117e-01
1.000000000000000000e+01,1.822335459291934967e-02,2.650030516088008881e-02,5.497656464576721191e-01
1.100000000000000000e+01,1.443826965987682343e-02,2.291596494615077972e-02,5.365546941757202148e-01
1.200000000000000000e+01,1.122421398758888245e-02,1.922075822949409485e-02,5.093811750411987305e-01
1.300000000000000000e+01,8.948327042162418365e-03,1.610167697072029114e-02,4.872952103614807129e-01
1.400000000000000000e+01,6.911911536008119583e-03,1.393687631934881210e-02,4.786720871925354004e-01
1.500000000000000000e+01,5.038337782025337219e-03,1.232829038053750992e-02,4.697358906269073486e-01
1.600000000000000000e+01,4.180706571787595749e-03,1.074322592467069626e-02,4.487944841384887695e-01
1.700000000000000000e+01,3.650726052001118660e-03,8.648520335555076599e-03,4.228030741214752197e-01
1.800000000000000000e+01,2.801629481837153435e-03,5.615477450191974640e-03,4.050221145153045654e-01
1.900000000000000000e+01,2.168848644942045212e-03,3.169386414811015129e-03,3.973104953765869141e-01
2.000000000000000000e+01,2.102026017382740974e-03,3.289471846073865891e-03,3.917752504348754883e-01
2.100000000000000000e+01,1.977711915969848633e-03,3.602500772103667259e-03,3.797456324100494385e-01
2.200000000000000000e+01,1.767022884450852871e-03,2.996761584654450417e-03,3.598424792289733887e-01
2.300000000000000000e+01,1.743187662214040756e-03,1.389040378853678703e-03,3.397248685359954834e-01
2.400000000000000000e+01,1.884032739326357841e-03,2.696764131542295218e-04,3.272262811660766602e-01
2.500000000000000000e+01,1.601633965037763119e-03,-8.439170778729021549e-05,3.207895457744598389e-01
2.600000000000000000e+01,1.132665318436920643e-03,-2.960273995995521545e-04,3.132690489292144775e-01
2.700000000000000000e+01,8.633372490294277668e-04,-1.765315937518607825e-05,3.013174533843994141e-01
2.800000000000000000e+01,1.003473764285445213e-03,1.288354105781763792e-04,2.872410416603088379e-01
2.900000000000000000e+01,8.708548848517239094e-04,-1.390981051372364163e-04,2.742599844932556152e-01
3.000000000000000000e+01,8.469793247058987617e-04,-3.630167630035430193e-04,2.631187736988067627e-01
3.100000000000000000e+01,6.491268868558108807e-04,-2.443610537739004940e-05,2.535231411457061768e-01
3.200000000000000000e+01,4.219245165586471558e-04,1.666983735049143434e-04,2.447602599859237671e-01
3.300000000000000000e+01,6.958449375815689564e-05,-7.768155774101614952e-04,2.369355559349060059e-01
3.400000000000000000e+01,-2.746059617493301630e-04,-1.113769365474581718e-03,2.303349375724792480e-01
3.500000000000000000e+01,-3.325915895402431488e-05,9.656731708673760295e-05,2.243926972150802612e-01
3.600000000000000000e+01,4.620859108399599791e-04,1.070780446752905846e-03,2.166053056716918945e-01
3.700000000000000000e+01,7.983190589584410191e-04,6.642891676165163517e-04,2.065877616405487061e-01
3.800000000000000000e+01,1.083164592273533344e-03,-4.751064989250153303e-04,1.972717195749282837e-01
3.900000000000000000e+01,1.524456543847918510e-03,-5.555629613809287548e-04,1.910257786512374878e-01
4.000000000000000000e+01,1.496418728493154049e-03,6.800136761739850044e-04,1.863556057214736938e-01
4.100000000000000000e+01,1.303399796597659588e-03,1.295762602239847183e-03,1.804280728101730347e-01
4.200000000000000000e+01,1.187777379527688026e-03,1.187812536954879761e-03,1.728239953517913818e-01
4.300000000000000000e+01,8.066967129707336426e-04,1.277637900784611702e-03,1.652608513832092285e-01
4.400000000000000000e+01,2.788268029689788818e-04,6.596633465960621834e-04,1.589588820934295654e-01
4.500000000000000000e+01,-1.938854402396827936e-04,2.023357083089649677e-04,1.543921530246734619e-01
4.600000000000000000e+01,-5.501738633029162884e-04,-7.987782009877264500e-05,1.503069400787353516e-01
4.700000000000000000e+01,-1.101302681490778923e-03,-5.214588018134236336e-04,1.451530307531356812e-01
4.800000000000000000e+01,-1.628638012334704399e-03,-1.050510094501078129e-03,1.384950876235961914e-01
4.900000000000000000e+01,-2.297185594215989113e-03,-2.470041858032345772e-03,1.317456513643264771e-01
5.000000000000000000e+01,-2.675194526091217995e-03,-3.261712146922945976e-03,1.258617490530014038e-01
5.100000000000000000e+01,-2.735995221883058548e-03,-2.820383291691541672e-03,1.207186654210090637e-01
5.200000000000000000e+01,-2.567547373473644257e-03,-2.492739353328943253e-03,1.152300536632537842e-01
5.300000000000000000e+01,-2.597746439278125763e-03,-2.618748228996992111e-03,1.102707758545875549e-01
5.400000000000000000e+01,-2.464724704623222351e-03,-2.452712971717119217e-03,1.068942472338676453e-01
5.500000000000000000e+01,-2.319450955837965012e-03,-1.955437008291482925e-03,1.052162349224090576e-01
5.600000000000000000e+01,-2.268092939630150795e-03,-8.203960605897009373e-04,1.026174649596214294e-01
5.700000000000000000e+01,-2.041406231001019478e-03,4.926700494252145290e-04,9.808672219514846802e-02
5.800000000000000000e+01,-1.441548694856464863e-03,5.971282371319830418e-04,9.322436898946762085e-02
5.900000000000000000e+01,-1.114612212404608727e-03,2.346185501664876938e-04,8.990512788295745850e-02
6.000000000000000000e+01,-1.288285711780190468e-03,6.353653734549880028e-04,8.742292970418930054e-02
6.100000000000000000e+01,-1.883577671833336353e-03,1.055039116181433201e-03,8.432490378618240356e-02
6.200000000000000000e+01,-2.194748260080814362e-03,1.946801552549004555e-03,8.065975457429885864e-02
6.300000000000000000e+01,-1.940836315043270588e-03,1.723465276882052422e-03,7.754103839397430420e-02
6.400000000000000000e+01,-1.149290823377668858e-03,7.253661169670522213e-04,7.554514706134796143e-02
6.500000000000000000e+01,-3.141535562463104725e-04,-2.062787971226498485e-04,7.394991815090179443e-02
6.600000000000000000e+01,-1.736405392875894904e-04,-1.069516292773187160e-03,7.106333971023559570e-02
6.700000000000000000e+01,-2.491125487722456455e-04,-1.489915885031223297e-03,6.693699955940246582e-02
6.800000000000000000e+01,-3.270174202043563128e-04,-1.692545716650784016e-03,6.361195445060729980e-02
6.900000000000000000e+01,-4.194691427983343601e-04,-2.817163709551095963e-03,6.209008768200874329e-02
7.000000000000000000e+01,-5.112962680868804455e-04,-4.442254081368446350e-03,6.125978007912635803e-02
7.100000000000000000e+01,-2.450590254738926888e-04,-5.198270548135042191e-03,5.966575071215629578e-02
7.200000000000000000e+01,3.517773293424397707e-04,-4.633412230759859085e-03,5.710591748356819153e-02
7.300000000000000000e+01,3.866239858325570822e-04,-3.389191580936312675e-03,5.488001927733421326e-02
7.400000000000000000e+01,-2.119407581631094217e-04,-2.806648379191756248e-03,5.281209200620651245e-02
7.500000000000000000e+01,-1.284363097511231899e-03,-1.847854699008166790e-03,5.094009265303611755e-02
7.600000000000000000e+01,-1.942767994478344917e-03,-1.068342593498528004e-03,4.914128780364990234e-02
7.700000000000000000e+01,-2.094676718115806580e-03,-1.872342545539140701e-05,4.695449769496917725e-02
7.800000000000000000e+01,-1.788513502106070518e-03,6.936832505743950605e-05,4.453487321734428406e-02
7.900000000000000000e+01,-1.440040650777518749e-03,-7.219655090011656284e-04,4.276630654931068420e-02
8.000000000000000000e+01,-1.377700828015804291e-03,-1.285519218072295189e-03,4.248128831386566162e-02
8.100000000000000000e+01,-1.456769066862761974e-03,-7.429825491271913052e-04,4.234737902879714966e-02
8.200000000000000000e+01,-1.312753185629844666e-03,1.381431648042052984e-04,4.121711105108261108e-02
8.300000000000000000e+01,-8.167648338712751865e-04,7.243598811328411102e-04,3.982768952846527100e-02
8.400000000000000000e+01,-6.423178710974752903e-04,3.146212839055806398e-04,3.888420760631561279e-02
8.500000000000000000e+01,-8.717456948943436146e-04,6.569770048372447491e-04,3.800709918141365051e-02
8.600000000000000000e+01,-8.501293486915528774e-04,1.083561684936285019e-03,3.693913668394088745e-02
8.700000000000000000e+01,-9.443089365959167480e-04,7.621994009241461754e-04,3.645988553762435913e-02
8.800000000000000000e+01,-8.757447940297424793e-04,3.977105661761015654e-04,3.642671555280685425e-02
8.900000000000000000e+01,-6.356974481604993343e-04,2.622208558022975922e-04,3.539976850152015686e-02
9.000000000000000000e+01,-4.459710035007447004e-04,4.445565282367169857e-04,3.354273736476898193e-02
9.100000000000000000e+01,-5.709764664061367512e-04,8.126655011437833309e-04,3.178241848945617676e-02
9.200000000000000000e+01,-7.791504613123834133e-04,1.867437851615250111e-03,3.032720647752285004e-02
9.300000000000000000e+01,-6.165675586089491844e-04,2.550557488575577736e-03,2.855804376304149628e-02
9.400000000000000000e+01,-8.613331010565161705e-05,2.879329258576035500e-03,2.698726207017898560e-02
9.500000000000000000e+01,2.470237086527049541e-04,2.061940962448716164e-03,2.636700496077537537e-02
9.600000000000000000e+01,4.314191755838692188e-04,3.704837872646749020e-04,2.603554725646972656e-02
9.700000000000000000e+01,7.150371093302965164e-04,-1.070892438292503357e-03,2.517399564385414124e-02
9.800000000000000000e+01,9.395297383889555931e-04,-1.690655830316245556e-03,2.414783462882041931e-02
9.900000000000000000e+01,8.608894422650337219e-04,-1.096059568226337433e-03,2.265776135027408600e-02
